x_1,t_eng_1,t_fil_1,x_2,t_eng_2,t_fil_2,label
doxorubicin hydrochloride liposomal,dɑːksoːɹuːbɪsɪn haɪdɹəkloːɹaɪd lɪpəsɑːməl,doksoɾubjsjnhjdɾoʧloɾideliposomal,epirubicin hydrochloride,ɛpɪɹuːbɪsɪn haɪdɹəkloːɹaɪd,ʔepiɾubjsjnhjdɾoʧloɾide,0
albendazole,ælbəndæzoʊl,ʔalbendasole,pediazole,pɛdɪæzoʊl,pediasole,0
achromycin,ækɹoʊmaɪsɪn,ʔaʧɾomjsjn,rondomycin,ɹɑːndəmaɪsɪn,ɾondomjsjn,0
clobazam,kloʊbɐzæm,klobasam,cotazym,kɑːɾeɪzɪm,kotasjm,0
cetirizine,sɛɾɪɹɪziːn,ketiɾizine,stavudine,stævjuːdiːn,stavudine,1
neupogen,nuːpədʒən,neupogen,femogen,fɛmədʒən,femogen,0
betapace,beɪɾəpeɪs,betapakeʔ,butapap,bjuːɾɐpæp,butapap,0
methadone,mɛθɐdoʊn,methadone,metastron,mɛɾəstɹən,metastɾon,0
hydroxychloroquine,haɪdɹɑːksɪkloːɹoʊkwaɪn,hjdɾoksjʧloɾokine,hydroxyurea,haɪdɹɑːksɪjuːɹiə,hjdɾoksjuɾea,1
rabeprazole,ɹeɪbpɹɐzoʊl,ɾabepɾasole,aspirin omeprazole,æspɹɪn oʊmpɹɐzoʊl,ʔaspiɾinʔomepɾasole,0
alkeran,ælkɚɹən,ʔalkeɾan,leukeran,luːkɚɹən,leukeɾan,1
tresiba,tɹɛzɪbə,tɾesiba,cresemba,kɹɛsɛmbə,kɾesembaʔ,0
zocor,zɑːkɚ,zokoɾ,zyrtec,zɪətɛk,zjɾtek,1
normodyne,noːɹmədaɪn,noɾmodjne,normozide,noːɹməzaɪd,noɾmozide,0
kayexalate,keɪɪksæleɪt,kajeksalate,aerolate,ɛɹoʊleɪt,ʔaeɾolate,0
occlusal hp,əkluːzəl eɪtʃpiː,ʔoklusalhp,ocuflox,ɑːkəflɑːks,ʔokufloks,1
sandimmune,sændɪmjuːn,sandimmune,sandostatin,sændəstætɪn,sandostatin,1
lunesta,lʌnɛstə,lunesta,neulasta,nuːlæstə,neulasta,1
advair,ɐdvɛɹ,ʔadvajɾ,advicor,ɐdvɪkɚ,ʔadvjsoɾ,1
activase,æktɪveɪs,ʔaktivase,noctiva,nɑːktɪvə,noktiva,0
pralidoxime,pɹælɪdɑːksaɪm,pɾalidoksime,pyridoxine,pɪɹɪdɑːksaɪn,pjɾidoksʔineʔ,1
normodyne,noːɹmədaɪn,noɾmodjne,norpramin,noːɹpɹɐmɪn,noɾpɾamin,1
folic acid,fɑːlɪk æsɪd,folikʔasid,folinic acid,fəlɪnɪk æsɪd,folinikʔasid,1
celebrex,sɛlɪbɹɛks,kelebɾeks,clobex,kloʊbɛks,klobeks,0
latanoprost,lætɐnɑːpɹɑːst,latanopɾost,travoprost,tɹævəpɹɑːst,tɾavopɾost,0
celexa,sɛlɛksə,kʔelksaʔ,zyprexa,zɪpɹɛksə,zjpɾeksaʔ,1
toujeo,taʊdʒɪoʊ,toʔuʤeo,tradjenta,tɹædʒɛntə,tɾadʤenta,1
navane,næveɪn,navaneʔ,norvasc,noːɹvæsk,noɾvk,1
gabapentin,gæbeɪpɛntɪn,gabapentin,cogentin,koʊdʒəntɪn,kogentin,0
neratinib,nɛɹɐtɪnɪb,neɾatinib,niraparib,nɜːɹɐpæɹɪb,niɾapaɾib,1
metoprolol succinate,mɛɾəpɹɑːlɑːl səksɪneɪt,metopɾololsukjnate,metoprolol tartrate,mɛɾəpɹɑːlɑːl tɑːɹtɹeɪt,metopɾololtaɾtɾate,1
darvon compound,dɑːɹvɑːn kɑːmpaʊnd,daɾvonko³³pɔ⁴¹und,darvon w asa,dɑːɹvɑːn dʌbəljuː ɐsæ,daɾvonwʔasa,0
abelcet,eɪbəlsɪt,ʔabelket,amphotericin b,æmfoʊtɹɪsɪn biː,ʔamphoteɾajsjnb,1
argatroban,ɑːɹgɐtɹɑːbən,ʔaɾgatɾoban,natroba,nætɹoʊbə,natɾoba,0
healon,hiːlɑːn,healon,halcion,hælʃən,halsjon,0
zyrtec,zɪətɛk,zjɾtek,zyrtec d,zɪətɛk diː,zjɾtekd,1
dimenhydrinate,daɪmənhaɪdɹɪneɪt,dimenhjdɾinate,diphenhydramine,dɪfənhaɪdɹɐmiːn,diphenhjdɾamine,1
desmopressin,dɛzməpɹɛsɪn,desmosin,vasopressin,væsəpɹɛsɪn,vsin,1
doxorubicin liposomal,dɑːksoːɹuːbɪsɪn lɪpəsɑːməl,doksoɾubjsjnliposomal,doxorubicin hydrochloride liposomal,dɑːksoːɹuːbɪsɪn haɪdɹəkloːɹaɪd lɪpəsɑːməl,doksoɾubjsjnhjdɾoʧloɾideliposomal,0
bayhep b,beɪhɛp biː,bajhepb,bayrho d,beɪrhoʊ diː,bajɾhoʔd,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,hydroxyzine,haɪdɹɑːksɪziːn,hjdɾoksjzine,1
paxil,pæksɪl,paksil,taxol,tæksɑːl,taksol,1
plavix,plævɪks,plavjks,pradaxa,pɹædæksə,pɾadaksaʔ,1
lamotrigine,læmətɹɪdʒɪn,lamotɾigine,levothyroxine,lɛvəθɪɹəksaɪn,levatjɾoksʔineʔ,1
diovan,dɪɑːvæn,diovan,zyban,zaɪbən,zjban,1
emflaza,ɛmflɑːzə,ʔemflasa,enflonsia,ɛnflɑːnsiə,ʔenflonsia,0
tanzeum,tænziːəm,tansjum,toujeo,taʊdʒɪoʊ,toʔuʤeo,1
spravato,spɹævɑːɾoʊ,spɾavatoʔ,steglatro,stɛglætɹoʊ,steglatɾo,1
silodosin,saɪlədɑːsɪn,silodosin,sirolimus,sɪɹəlɪməs,siɾolimus,1
methyltestosterone,mɛθəlɾɪstɑːstɚɹoʊn,methjltestosteɾone,methyldopate hcl,mɛθəldɑːpeɪt eɪtʃsiːɛl,methjldopateʔhkl,0
alkeran,ælkɚɹən,ʔalkeɾan,myleran,maɪlɚɹən,mjleɾan,1
cetacort,sɛɾɐkɔːɹt,ketakoɾt,kenacort,kɛnɐkɔːɹt,kenakoɾt,0
viagra,vaɪægɹə,vjagɾa,viadur,vaɪədjʊɹ,viaduɾ,0
duloxetine,duːləksɛtiːn,duloksetine,eloxatin,ɪlɑːksɐtɪn,ʔeloksatin,0
fortical,fɔːɹɾɪkəl,foɾtikal,farydak,fɑːɹɹɪdæk,faɾjdak,0
restoril,ɹɪstoːɹəl,ɾestoɾil,risperdal,ɹɪspɜːdəl,ɾispeɾdal,1
sudafed,suːdeɪft,sudafed,histafed,hɪsteɪft,histafed,0
malarone,mælɐɹoʊn,malaɾone,mefloquine,mɛfləkwaɪn,meflokine,1
tromethamine,tɹoʊmθɐmiːn,tɾomethamine,promethazine plain,pɹoʊmiːθeɪziːn pleɪn,pɾomethasʔineʔplaʔin,0
duloxetine,duːləksɛtiːn,duloksetine,fluoxetine,fljuːəksɛtiːn,fluʔoksetine,1
lanoxin,lænəksɪn,lanoksin,naloxone,næləksoʊn,naloksone,1
apixaban,ɐpɪksæbən,ʔapiksaban,axitinib,æksɪtɪnɪb,ʔaksitinib,1
filkri,fɪlkɹi,filkɾiʔ,filspari,fɪlspæɹi,filspaɾiʔ,0
gastrovist,gæstɹəvɪst,gastɾovist,md gastroview,ɛmdiː gæstɹəvjuː,mdgastɾovjew,0
propylthiouracil,pɹoʊpəlθjɚɹæsɪl,pɾopjltjʔawɾasjl,purinethol,pjʊɹɹaɪnθɑːl,puɾinethol,1
bidex,baɪdɛks,bideks,videx,vaɪdɛks,vidjks,1
benadryl,bɛnɐdɹɪl,benadɾjl,benazepril,bɛneɪzpɹəl,benasepɾil,1
alfentanil,ɐlfɛntɐnɪl,ʔalfentanil,sufentanil,suːfəntænɪl,sufentanil,1
sonata,sənɑːɾə,sonataʔ,sovuna,səvuːnə,sovunaʔ,0
tiazac,tiːəzæk,tiasak,ziac,zaɪək,ziak,1
hydrochlorothiazide,haɪdɹəkloːɹoʊθɪeɪzaɪd,hjdɾoʧloɾothiʔazide,telmisartan and hydrochlorothiazide,tɛlmɪsɑːɹtən ænd haɪdɹəkloːɹoʊθɪeɪzaɪd,telmisaɾtanʔandhjdɾoʧloɾothiʔazide,0
zegerid,zɛdʒɚɹɪd,zegeɾid,zestril,zɛstɹəl,zestɾil,1
invega,ɪnviːgə,ʔinvega,invokamet,ɪnvɑːkæmɪt,ʔinvokamet,0
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,robimycin,ɹɑːbɪmaɪsɪn,ɾobimjsjn,0
bupropion,bʌpɹoʊpiən,bupɾopjon,nutropin,nʌtɹəpɪn,nutɾopin,0
glucotrol,gluːkətɹɑːl,glukotɾol,nicotrol,nɪkətɹɑːl,nikotɾol,0
fentanyl,fɛntɐnaɪl,fentanjl,sufentanil,suːfəntænɪl,sufentanil,1
novolog mix 70 30 flexpen,nɑːvəlɑːg mɪks sɛvənti θɜːɾi flɛkspən,novologmiks7030flkspen,novolog mix 70 30 penfill,nɑːvəlɑːg mɪks sɛvənti θɜːɾi pɛnfɪl,novologmiks7030penfilj,0
cinoxacin,sɪnəksæsɪn,koksasjn,ciprofloxacin,sɪpɹəflɑːksɐsɪn,kipɾofloksasjn,0
kwell,kwɛl,kwell,qwell,kjuːwɛl,kwel,1
celexa,sɛlɛksə,kʔelksaʔ,mycelex g,maɪsɪlɛks dʒiː,mikeʔelksg,0
norco,noːɹkoʊ,noɾko,psorcon,soːɹkən,soɾkon,0
cubicin,kjuːbɪsɪn,kubjsjn,cubicin rf,kjuːbɪsɪn ɑːɹɹɛf,kubjsjnɾf,1
deferoxamine mesylate,dɪfɚɹɑːksɐmiːn mɛsɪleɪt,defeɾoksaminemesjlate,phentolamine mesylate,fɛntɑːlɐmiːn mɛsɪleɪt,phentolaminemesjlate,0
rituxan,ɹɪɾʌksən,ɾituksan,rituxan hycela,ɹɪɾʌksən haɪsɛlə,ɾituksanhikeela,1
tacrolimus,tækɹəlɪməs,takɾolimus,pimecrolimus,paɪmkɹəlɪməs,pimekɾolimus,0
retrovir,ɹɛtɹoʊvɜː,ɾetɾovjɾ,ritonavir,ɹɪtənævɪɹ,ɾitonavjɾ,1
ethosuximide,iːθəsʌksɪmaɪd,ʔethosuksimide,glutethimide,gluːɾɪθɪmaɪd,glutethimide,0
bicitra,baɪsɪtɹə,bjsitɾa,minitran,mɪnɪtɹæn,minitɾan,0
cefuroxime,sɛfjʊɹɹɑːksaɪm,kefuɾoksime,sulfasalazine,sʌlfeɪzælɐziːn,sulfasalasʔineʔ,1
clinda derm,klɪndə dɜːm,klindaʔdeɾm,clindagel,klɪndeɪdʒəl,klindagel,0
nilotinib,naɪlətɪnɪb,nilotinib,gefitinib,dʒɛfɪtɪnɪb,gefitinib,0
buprenorphine,bʌpɹənoːɹfiːn,bupɾenoɾphine,probuphine,pɹɑːbəfiːn,pɾobuphine,0
viloxazine hydrochloride,vaɪləksæziːn haɪdɹəkloːɹaɪd,viloksasʔineʔhjdɾoʧloɾide,ziprasidone hydrochloride,zɪpɹɐsɪdoʊn haɪdɹəkloːɹaɪd,zipɾasjdonehjdɾoʧloɾide,0
eribulin,ɛɹɪbjʊlɪn,ʔeɾibulin,hedulin,hɛdʒuːlɪn,hedulin,0
clonazepam,klɑːneɪzpæm,klonasepam,clozapine,klɑːzɐpaɪn,klosapine,1
mifepristone,maɪfpɹɪstoʊn,mifepɾistone,misoprostol,mɪsɑːpɹɑːstəl,misopɾostol,1
narcan,nɑːɹkæn,naɾkan,norcuron,noːɹkjʊɹɹən,noɾsuɾon,1
hydrogesic,haɪdɹoʊdʒzɪk,hjdɾogesik,co gesic,koʊ dʒɛzɪk,kogesik,0
roxicet,ɹɑːksɪsɪt,ɾoksjset,folicet,fɑːlɪsɪt,foliket,0
edetate calcium disodium,ɛdɪteɪt kælsiəm dɪsoʊdiəm,ʔedetatekalsjumdisodjum,edetate disodium,ɛdɪteɪt dɪsoʊdiəm,ʔedetatedisodjum,1
tolbutamide,tɑːlbjuːtæmaɪd,tolbutamide,flutamide,fluːɾɐmaɪd,flutamide,0
naphcon a,næfkən eɪ,naphkonʔa,naphcon forte,næfkən foːɹɾeɪ,naphkonfoɾte,0
zantac,zæntæk,zantak,zantac 360,zæntæk θɹiːhʌndɹɪd sɪksti,zantak360,1
antacid,æntæsɪd,ʔantakid,atacand,æɾɐkænd,ʔatakand,1
diprivan,dɪpɹɪvæn,dipɾivan,ditropan,dɪtɹəpæn,ditɾopan,1
miralax,mɜːɹɐlæks,miɾalaks,merilog,mɛɹɪlɑːg,meɾilog,0
cyclophosphamide,saɪkləfɑːsfɐmaɪd,sikelophosphamide,cyclosporine,saɪkləspoːɹiːn,sikelospoɾine,1
tramadol,tɹæmɐdɑːl,tɾamadol,trazodone,tɹæzədoʊn,tɾasodone,1
nimodipine,nɪmədɪpaɪn,nimodipine,nimotop,nɪmətɑːp,nimotop,0
hmg coa reductase inhibitors,eɪtʃɛmdʒiː koʊɚ ɹɪdʌkteɪs ɪnhɪbɪɾɚz,hmʤikoaɾeduktaseʔinhibitoɾs,nystatin,nɪstɐtɪn,njstatin,1
amphotericin b,æmfoʊtɹɪsɪn biː,ʔamphoteɾajsjnb,amphotec,æmfoʊɾək,ʔamphotek,0
abemaciclib,ɐbɛmɐsɪklɪb,ʔabemasjslib,ribociclib,ɹɪbəsɪklɪb,ɾibosjslib,0
femara,fɛmɑːɹɹə,femaɾa,femtrace,fɛmtɹeɪs,femtɾakeʔ,0
mitomycin,maɪɾəmaɪsɪn,mitomjsjn,bristamycin,bɹɪstɐmaɪsɪn,bɾistamjsjn,0
amicar,æmɪkɑːɹ,ʔamikaɾ,omacor,ɑːmækɚ,ʔomakoɾ,1
buprenorphine,bʌpɹənoːɹfiːn,bupɾenoɾphine,hydromorphone,haɪdɹəmoːɹfoʊn,hjdɾomoɾphone,1
syeda,sɪɛdə,sjeda,sylevia,saɪliːviə,sjlevja,0
adderall,ædɚɹɔːl,ʔadɾol,inderal,ɪndɛɹəl,ʔindeɾal,1
cefoxitin,sɛfəksɪtɪn,kefoksitin,cefotan,sɛfɑːtən,kefotan,0
octocaine,ɑːktəkeɪn,ʔokokaʔineʔ,polocaine,pɑːləkeɪn,polokaʔineʔ,0
syndros,sɪndɹoʊz,sjndɾos,synthroid,sɪnθɹɔɪd,sjntɾoid,0
dolutegravirlamivudinetenofovir alafenamide,dɑːluːtɛgɹɐvɜːlɐmɪvjuːdaɪntənɑːfəvɪɹ ɐleɪfnɐmaɪd,dolutegɾavjɾlamivudinetenofovjɾʔalafenamide,emtricitabine and tenofovir alafenamide,ɛmtɹɪsɪtæbaɪn ænd tɛnəfɑːvɪɹ ɐleɪfnɐmaɪd,ʔemtɾajsitabineʔandtenofovjɾʔalafenamide,0
pamelor,peɪmlɚ,pameloɾ,panlor dc,pænlɚ diːsiː,panloɾdk,1
patanol,pætɐnɑːl,patanol,platinol,plætɪnɑːl,platinol,1
rituxan,ɹɪɾʌksən,ɾituksan,crixivan,kɹɪksɪvæn,kɾjksivan,0
seasonale,siːzəneɪl,seasonale,seasonique,siːzəniːk,seasonjkeʔ,0
humulin,hjuːmjʊlɪn,humulin,novolin,nɑːvəlɪn,novolin,1
ortho tri cyclen,ɔːɹθoʊ tɹaɪ saɪklən,ʔoɾthoʔtɾisikeln,ortho tri cyclen lo,ɔːɹθoʊ tɹaɪ saɪklən loʊ,ʔoɾthoʔtɾisikelnlo,1
grifulvin v,gɹɪfəlvɪn viː,gɾifulvjnv,griseofulvin,gɹaɪsəfʌlvɪn,gɾiseofulvjn,0
durasal,dʊɹɹeɪzəl,duɾasal,durezol,dʊɹɹɪzɑːl,duɾesol,1
sotalol,soʊɾɐlɑːl,sotalol,sudafed,suːdeɪft,sudafed,1
ilaris,ɪlɑːɹɹɪs,ʔilaɾis,ilumya,ɪləmɪə,ʔilumja,1
fentanyl 12,fɛntɐnaɪl twɛlv,fentanjl12,fentanyl 75,fɛntɐnaɪl sɛvənti faɪv,fentanjl75,0
percocet,pɜːkɑːsɪt,peɾkoket,procet,pɹɑːsɪt,pɾoket,1
pagitane,pædʒɪteɪn,pagitaneʔ,pioglitazone,pɪɑːglɪtæzoʊn,pioglitasone,0
lopressor,lɑːpɹɛsɚ,losoɾ,lyrica,lɪɹɪkə,ljɾajsaʔ,1
advicor,ɐdvɪkɚ,ʔadvjsoɾ,altocor,æltɑːkɚ,ʔaltokoɾ,1
diflucan,dɪfluːkən,diflukan,diprivan,dɪpɹɪvæn,dipɾivan,1
salagen,sælədʒən,salagen,selegiline,sɛlɪdʒɪliːn,selegiline,1
abacavir sulfate and lamivudine,æbɐkævɪɹ sʌlfeɪt ænd læmɪvjuːdiːn,ʔabakavjɾsulfateʔandlamivudine,dolutegravir and lamivudine,dɑːluːtɛgɹɐvɪɹ ænd læmɪvjuːdiːn,dolutegɾavjɾʔandlamivudine,0
fulvicin p g,fʊlvɪsɪn piː dʒiː,fulvjsjnpg,fulvicin u f,fʊlvɪsɪn juː ɛf,fulvjsjnʔuf,0
anzemet,ænzɛmɪt,ʔanzemet,avandamet,ævɐndæmɪt,ʔavandamet,1
betaine,beɪɾəaɪn,betaʔineʔ,betaine hcl,beɪɾəaɪn eɪtʃsiːɛl,betaʔineʔhkl,1
erythromycin,ɜːɹɪθɹəmaɪsɪn,ʔeɾjtɾomjsjn,seromycin,sɛɹəmaɪsɪn,seɾomjsjn,0
bayhep b,beɪhɛp biː,bajhepb,bayrab,beɪɹæb,bajɾab,1
dexamethasone sodium phosphate,dɛksɐmɛθɐsoʊn soʊdiəm fɑːsfeɪt,deksʔamethasonesodjumphosphate,neomycin sulfate dexamethasone sodium phosphate,niːoʊmaɪsɪn sʌlfeɪt dɛksɐmɛθɐsoʊn soʊdiəm fɑːsfeɪt,neomjsjnsulfatedeksʔamethasonesodjumphosphate,0
florinef,flɔːɹaɪnəf,floɾinef,florone e,floːɹoʊn iː,floɾoneʔe,0
orgaran,ɔːɹgæɹən,ʔoɾgaɾan,corgard,kɔːɹgɑːɹd,koɾgaɾd,0
bupropion,bʌpɹoʊpiən,bupɾopjon,buspirone,bʌspaɪɚn,buspiɾone,1
colace,kɑːleɪs,kolakeʔ,cholac,tʃɑːlæk,ʧolak,0
adacel,ɐdeɪsəl,ʔadakel,padcev,pædsɛv,padkev,0
tri legest fe,tɹaɪ liːdʒɪst fiː,tɾilegestfe,tri lo estarylla,tɹaɪ loʊ ɛstɑːɹɹɪlə,tɾiloʔestaɾjllaʔ,0
cortef acetate,kɔːɹɾɛf æsɪteɪt,koɾtefʔaketate,octreotide acetate,ɑːktɹɪɑːɾaɪd æsɪteɪt,ʔoktɾeotideʔaketate,0
capadex,kæpeɪdɛks,kaks,kapidex,kæpaɪdɛks,kapidjks,1
saquinavir,sækwɪnævɪɹ,sakinavjɾ,sinequan,saɪŋkwən,sinekan,1
triavil 2 10,tɹaɪævəl tuː tɛn,tɾiʔavjl210,triavil 4 50,tɹaɪævəl foːɹ fɪfti,tɾiʔavjl450,0
penicillamine,pɛnɪsɪlɐmiːn,penisillamine,penicillin,pɛnɪsɪlɪn,penisillin,1
lotronex,lɑːtɹoʊnɛks,lotɾoneks,protonix,pɹoʊtənɪks,pɾotonjks,1
acular preservative free,ækjʊlɚ pɹɪzɜːvətɪv fɹiː,ʔakulaɾpɾeseɾvativefeʔ,famotidine preservative free,fæmətɪdiːn pɹɪzɜːvətɪv fɹiː,famotidinepɾeseɾvativefeʔ,0
paxil,pæksɪl,paksil,tepanil,tɛpɐnɪl,tepanil,0
dexamethasone,dɛksɐmɛθɐsoʊn,deksʔamethasone,exemestane,ɛgzɛmɪsteɪn,ʔeksemestane,0
cortef acetate,kɔːɹɾɛf æsɪteɪt,koɾtefʔaketate,lanreotide acetate,lænɹɪɑːɾaɪd æsɪteɪt,lanɾeotideʔaketate,0
doribax,doːɹɪbæks,doɾibaks,zovirax,zɑːvɚɹæks,zovjks,1
atrovent,ætɹoʊvənt,ʔatɾovent,natru vent,nætɹuː vɛnt,natɾuvent,1
ticlid,tɪklɪd,tiklid,tesuloid,tɛsuːlɔɪd,tesuloid,0
cyclophosphamide,saɪkləfɑːsfɐmaɪd,sikelophosphamide,cleocin phosphate,klɪɑːsɪn fɑːsfeɪt,kelasjnphosphate,0
desyrel,dɪsɪɹəl,desjɾel,seroquel,sɛɹɑːkwəl,seɾokel,1
mucinex,mjuːsaɪnɛks,mukʔeks,mucomyst,mjuːkəmɪst,mukomjst,1
cyclosporine,saɪkləspoːɹiːn,sikelospoɾine,cyclosporine modified,saɪkləspoːɹiːn mɑːdɪfaɪd,sikelospoɾinemodifiʔed,1
olanzapine,ɑːlænzɐpaɪn,ʔolansapine,quetiapine,kwɛʃɪæpaɪn,ketiʔapine,1
rocuronium,ɹɑːkjʊɹɹoʊniəm,ɾokuɾonjum,romazicon,ɹɑːmɐzɪkən,ɾomasjson,1
antabuse,æntɐbjuːs,ʔantabuse,antepar,æntɪpɑːɹ,ʔantepaɾ,0
ketotifen fumarate,kɛɾətaɪfən fjuːmæɹət,ketotifenfumaɾate,quetiapine fumarate,kwɛʃɪæpaɪn fjuːmæɹət,ketiʔapinefumaɾate,0
leucovorin calcium,luːkəvoːɹɪn kælsiəm,leukovʔoɾinkalsjum,fenoprofen calcium,fɛnəpɹoʊfən kælsiəm,fenopɾofenkalsjum,0
cefotan,sɛfɑːtən,kefotan,comtan,kəmtæn,komtan,0
scandonest l,skændoʊnɪst ɛl,skandonestl,scandonest plain,skændoʊnɪst pleɪn,skandonestplaʔin,0
mifepristone,maɪfpɹɪstoʊn,mifepɾistone,mifeprex,maɪfpɹɛks,mifepɾeks,0
daraprim,dæɹæpɹɪm,daɾapɾim,duraprep,dʊɹɹɐpɹɛp,duɾapɾep,0
doxorubicin,dɑːksoːɹuːbɪsɪn,doksoɾubjsjn,idarubicin,aɪdɑːɹɹuːbɪsɪn,ʔidaɾubjsjn,1
lamisil,læmɪsəl,lamisil,ramipril,ɹæmɪpɹəl,ɾamipɾil,0
lamivudine,læmɪvjuːdiːn,lamivudine,lamotrigine,læmətɹɪdʒɪn,lamotɾigine,1
lasix,læsɪks,lasiks,wakix,wækɪks,wakiks,1
humalog mix 75 25,hjuːmɐlɑːg mɪks sɛvənti faɪv twɛnti faɪv,humalogmiks7525,humulin 70 30,hjuːmjʊlɪn sɛvənti θɜːɾi,humulin7030,1
depo provera,dɪpoʊ pɹɑːvɚɹə,depopɾoveɾa,depo subq provera 104,dɪpoʊ sʌbk pɹɑːvɚɹə wʌnhʌndɹɪd foːɹ,deposubkpɾoveɾa104,1
lortab,lɔːɹɾæb,loɾtab,oforta,ɑːfɔːɹɾə,ʔofoɾta,0
carboplatin,kɑːɹbəplætɪn,kaɾboplatin,cisplatin,sɪsplɐtɪn,kisplatin,1
brilinta,bɹɪlɪntə,bɾilinta,briviact,bɹɪvɪækt,bɾivjakt,1
claritin d,klæɹɪtɪn diː,klaɾitind,claritin d 24,klæɹɪtɪn diː twɛnti foːɹ,klaɾitind24,1
apresoline,æpɹeɪɑːliːn,ʔapɾesoline,apresazide,æpɹeɪeɪzaɪd,ʔazide,0
talwin compound,tælwɪn kɑːmpaʊnd,talwinko³³pɔ⁴¹und,talwin nx,tælwɪn ɛnɛks,talwinnks,0
