Brand Name,Confusible,label
Parkimet CR,Polynerv 1000,u
Valcef,Josilvite,u
Welzpime 1000,Omnicure-1,u
Ketodix,Geobactam-1.5,u
Drenex,Bacracil,u
Oxamax 500,Josilvite,u
Gompsul 750,Prazkon,u
Kodex,Zenkast,u
Clopres,Zantol,u
Cefukon-DS,Cefiden,u
Bactezole,Welzpime 1000,u
Normabrain-800,Acetaffein,u
Cefiden,F-ZEEN,u
Cefolic,CEFTAMED,u
Rixan 20,Rifoxane,u
Axbin,Bluecozone,u
Awanay Forte,Pneumocon 13,u
Clavxytin,Mentra 10,u
CEFTAMED,Amapine V 5/160,u
Cefohab,Alcoshield Ethyl Alcohol 70% Solution (Armour Boost),u
Polynerv 1000,Esmazol,u
Zincsulsaph,Valazyd AM 10/160,u
Clofina,Relzin,u
Providol,Powermint,u
Cosimetz,Silgram,u
Zobexelle,Hepamedica,u
Gem Pan 1000,Regivell,u
Clonisaph-Inf,Hycortil,u
Amlobloc Duo,Khrizcopan 10,u
Hepses,Prazobac,u
Ivtig,Diabee,u
Tacroz Forte,Gem Pan 1000,u
Livamin,Kedar,u
Clonisaph-Inf,Zithrovic,u
Zitabin-200,Aziro-500,u
Vomivert,HAPI-C + Z,u
Tractoban,Olandus ODT 5,u
Pentaglobin,SPIRE,u
Gotazo IV,Sybromex,u
Uriflo-D,Prixanep-500,u
Rozuhil-20,Forair 250 DPI,u
Zolvar,Decolgen,u
Clopres,Piorance-15,u
Axbin,Ironse,u
Tractoban,Amikate,u
Thiosol,Amtacil,u
Lotadim,Clavaxie 312.5 DT,u
Lexib,Fulzimed,u
Prasusafe,Medzotam,u
Zenkast,Xylocare,u
Xylocare,ARB,u
Accetaxime,Nizoled-600,u
Giran-16,Atorsaph,u
Clofina,Hyolax,u
Hepamedica,Naabak,u
Aperusvit F,Saphciferol-2000,u
Cilosol 50,DAPA-5,u
Geozit,Ketroxen,u
Triloupe,Livamin,u
Profmax,Medifortan-C Plus Zinc,u
Dexplatin,BRILIPAN-20,u
Sulbacin 0.75,Platikon,u
CEFTAMED,Zithrovic,u
Vigadexa,Kodex,u
Nicaright,Prazkon,u
Cefukon-DS,HAPI-C + Z,u
Alsea-E,Rixan 20,u
Qortisol,Rotoket,u
Asterol,Bico-120,u
Remicade,Erlocip 150,u
Medwin,Cilosol 50,u
Dorzodin Plus,Clopres,u
Asvimol,Maxi-Peel Solution No. 4,u
White Flower SR,Julitam I.V.,u
Amlobes,Pause 500,u
Fevaxid DS 250,Tramicet,u
Ranipen,Myrevit-B Forte,u
RegiCee,Pantopraz IV,u
Olangem OD 20,Diakon MR,u
Lotrilip,Nicaright,u
Astrofen,Erlocip 150,u
Huanopril,DIPP-4 PLUS,u
Aldic,Axbin,u
Telminex-80,Prixanep-500,u
Gliflomet 1000 + 10,Epribenz-10,u
Medwin,Cefolic,u
Hematozol 50,Belket,u
Voricoz,Cortef-250,u
Kedar,Ipracare,u
Fevaxid DS 250,Histacort,u
Acetyphil,Procee Plus,u
SUREF,Dorzodin Plus,u
Strocit 4 mL,Prixanep-500,u
Plasid,Nervilor 150,u
Emizole,Frenvo,u
Zithrovic,Cistovent,u
Epribenz-10,Nizoled-600,u
Duphalac,Astrofen,u
Saphmustin,Hyolax,u
Tractoban,Euroxime,u
Hycortil,Lox,u
Biemefrin,ESSENCEE,u
Valcef,Glimesaph T4,u
Voricoz,Duphalac,u
Diabee,Obrex,u
Plogrel,Rabaphen,u
Regivell,Oxamax 500,u
Tylin,Orfemed,u
Enervon C,Maxitron,u
Welzpime 1000,Emizole,u
Rondvit Plus C,Xafariv 15,u
Ursodynova 300,Acuvis,u
Bico-120,Relzin,u
Nizoled-600,Ranipen,u
Profmax,Benace,u
Monphevin,Pause 500,u
Cefukon-DS,Ursodynova 300,u
Rabaphen,Sybromex,u
Nervilor 150,Remicade,u
Pause 500,Hematozol 50,u
Zolvar,Prozin,u
Ceftris,Forair 250 DPI,u
Tramicet,Medicol I-400,u
Olandus ODT 5,Insulyf-30/70 (Biphasic),u
Histakon,Folart,u
Clonisaph-Inf,Telminex-80,u
Amtacil,Amapine V 5/160,u
SPIRE,Robitussin EX,u
Mupifer-C,Gabasyn,u
Cerox,Zylura 80,u
Thiosol,Maxi-Peel Solution No. 4,u
Prebamin 150,Pause 500,u
Nicaright,Valcef,u
Rozuhil-20,Zetron,u
Anplat,Cefolic,u
Muskelax,XOVIRAL,u
Haruvita,Sulbacin 0.75,u
Flammasul,Xet 20,u
Rondvit Plus C,Atorsaph,u
Preven-Z Gold,Cefitrene 100,u
Gofuroxime,Bluecozone,u
Ipracare,Tiradol,u
Hyolax,Asvent,u
Mupisur,Onecure,u
Thiosol,Glimesaph T4,u
Thiosol,Apilone,u
Dafenac,Ampic-500,u
Livamin,Zylura 80,u
Medzotam,Voriz,u
Trimevasc,Extocin,u
Goxy Inj,Rabaphen,u
Gotazo IV,Roxime,u
Duphalac,MON-G C,u
Xet 20,Biozart 50,u
Livertiale,Ketroxen,u
Valcef,Regivell,u
Roxxin,Talafil,u
Beralipids,Pregalife,u
Simbrinza,Transmetil,u
Bacracil,Indirab,u
Drexabion,Goxy Inj,u
Piperwell,Gliflomet 500 + 5,u
Hematozol 50,Alozure,u
Rifoxane,Ivtig,u
Cistovent,Saphmustin,u
Nulong 10,GOMILLIN 500,u
Zenkast,Exalac,u
Diclonac,Aldic,u
Torval-80,Euroxime,u
Zantol,Lozamex,u
Olzitec,Rotoket,u
Dafenac,Pause 500,u
Norash,Mepracid 40,u
Eopenem,Ketroxen,u
Profmax,Clavaxie 312.5 DT,u
Saver Select,Ketodix,u
Silbecor,Clonisaph-Inf,u
Accetaxime,Cefohab,u
Mepracid 40,Diabee,u
Colvan,Feravin,u
Sofenac,J-Tinib,u
Providol,Goxy Inj,u
Kingfloxin,Anifer,u
Sulbacin 0.75,Aperusvit F,u
Trenaxin,Esmazol,u
Coxigen-60,Remicade,u
Zitabin-200,Flucopharm,u
Hepses,Lexib,u
Florvast 80,Triloupe,u
Neurophrine,Enervon C,u
Cistovent,Tacroz Forte,u
Prasusafe,Prixanep-500,u
Andros,Lox,u
Extocin,Ketodix,u
White Flower SR,Trimevasc,u
Nebstyle 5,Carbastal,u
Ironse,Plasid,u
Hepses,Cefolic,u
Dafenac,Powermint,u
Acecof,Transmetil,u
Clonisaph-Inf,Diflu,u
Cefolic,Andros,u
Parabufen,Eslo 20,u
Saphixime 200,Unotation,u
Medifortan-C Plus Zinc,Pentaglobin,u
Prazobac,Polynerv 1000,u
Amapine V 5/160,Asvimol,u
Ketroxen,DAPA-5,u
Asvimol,Zerone-Sul,u
Martham,Florvast 80,u
Neo-Synalar 10,Acetyphil,u
Trimevasc,Asterol,u
Malapine-10,Naphcon-A,u
Metdazid,Josilvite,u
Tigilyn,Fendexi,u
Risek 40,Silgram,u
Prazkon,Medicol I-400,u
Esmazol,Linesave,u
Piperwell,MON-G C,u
Risek 40,Giran-16,u
Geobactam-1.5,Saphmirate-T50,u
Angimet,Paraflu,u
Relzin,Engerix B,u
Martham,Asvimol,u
Fixcure,Zobexelle,u
Bactezole,Naabak,u
Varivax,Udcapro,u
Exalac,Amlocare Plus,u
Mucolyptus,Cefukon-DS,u
Indirab,Ecolide,u
Engerix B,Julitam I.V.,u
Rondvit Plus C,Nebstyle 5,u
Indirab,Ketodix,u
Saphmirate-T50,Mucoriz,u
CFX-200,Lox,u
Mupifer-C,Mepracid 40,u
Folart,CEFTAMED,u
Nutri-Aid,Paraflu,u
Pentaglobin,Rondvit Plus C,u
Saver Select,Mupisur,u
Olangem OD 20,Ironse,u
Muskelax,Gofuroxime,u
Saphciferol-2000,Ketodix,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Ezz-C,u
Mupifer-C,Zefifarm,u
Rifoxane,Acetaffein,u
Hepses,Udcapro,u
Benace,Clonisaph-Inf,u
Diclonac,Belket,u
Lovaz,Belara,u
Indirab,Silbecor,u
Cefiden,Sybromex,u
Prebamin 150,Symdex-D Forte,u
Preven-Z Gold,Drenex,u
Benace,XOVIRAL,u
Arcimet,CEFTAZIDEN,u
Clonisaph-Inf,Lexib,u
Kingfloxin,Pneumocon 13,u
Diakon MR,Norash,u
Belket,Axbin,u
Bacracil,Gem Pan 1000,u
Muconil,Multibet Plus,u
Uriflo-D,Saver Select,u
Myrevit-B Forte,Amikate,u
Taksorbet,Remicade,u
Flazole,Diabee,u
Histacort,Livertiale,u
Taksorbet,Aziro-500,u
Malapine-10,Livamin,u
Saphciferol-2000,Nature-E,u
Muskelax,Risek 40,u
CEFTAMED,Drexabion,u
Zolid Plus,Pemtero 500,u
GOMILLIN 500,Colvan,u
Oxalivid 100,Maalum,u
Mupifer-C,MON-G C,u
Decolgen,Udcapro,u
Tiradol,Apcee,u
Gotazo IV,Muconil,u
Biozart 50,Urogen,u
Cerox,Dorzodin Plus,u
Biemefrin,Amidozil,u
Medifortan-C Plus Zinc,Ezz-C,u
Enervon C,Transderm-Nitro 5,u
Nervcedil,Hepamedica,u
Telfast,Zetron,u
Profmax,Biozart 50,u
Giran-16,Lox,u
Neurophrine,Colvan,u
Maalum,Saphmirate-T50,u
Dexplatin,DAPA-5,u
Tractoban,Sinustap,u
Mepracid 40,Udcapro,u
Transderm-Nitro 5,Angimet,u
Tigilyn,Prebamin 150,u
Portemp,Bico-120,u
EC-Vit,Ipracare,u
Nulong 10,Alsea-E,u
Sofenac,Gabasaph-300,u
Ammocil,Plasid,u
Eopenem,Lexib,u
Irebevex 150,Pantopraz IV,u
Propravest,Xafariv 15,u
Floxsafe,Xet 20,u
Rixan 20,Alsea-E,u
Cosopt,Norash,u
Amlobes,Glyhart,u
Capeceen,Medifortan-C Plus Zinc,u
Zudicort,Histakon,u
Uriflo-D,Feravin,u
Zetron,Saphixime 200,u
Ekosart,Polyderm 4,u
Rondvit Plus C,Tractoban,u
Qortisol,Rixan 20,u
Linesave,Atropos,u
Benace,Duphalac,u
Thiosol,Colvan,u
Zetron,Irebevex 150,u
Udcapro,Aperusvit F,u
Cosopt,Risek 40,u
Forair 250 DPI,Folironplex,u
Milgesic Forte,Pregalife,u
Zincsulsaph,Fixcure,u
Lotrilip,Sitixime,u
Lox,Cerin-250,u
Astrofen,Voriz,u
Diquas-S,Xaroban,u
Anifer,Amapine V 5/160,u
Myrevit-B Forte,Polyderm 4,u
Xaroban,Providol,u
Eopenem,Ecolide,u
Omnicure-1,Amlobes,u
DAPA-5,Prozin,u
Duphalac,Cordizar,u
Robitussin EX,Zyrova 20,u
Insulyf-30/70 (Biphasic),Rozuhil-20,u
Angimet,Diabee,u
Aldic,Acetaffein,u
Ipracare,Hycortil,u
Pentaglobin,Atropos,u
Cosopt,Belket,u
Zithrovic,SUREF,u
Ranipen,Diquas-S,u
XAMIOL,Acetyphil,u
Gompsul 750,Drexabion,u
Florvast 80,Eye Glo Relief,u
Normabrain-800,Rozuhil-20,u
Forair 250 DPI,Robitussin EX,u
Colvan,Zantol,u
Trimevasc,Healthcare Paracetamol (For Export Only),u
Ketroxen,Diabee,u
G-PRAZ,Colvan,u
Hinuron-E,Omnicure-1,u
Zitabin-200,Asvimol,u
Huanopril,Pregalife,u
Medicol I-400,Zolvar,u
HES-130,Malapine-10,u
Tramicet,XOVIRAL,u
Haruvita,Diabee,u
Beralipids,Lotadim,u
Syngly-4,Cilosol 50,u
Udcapro,Prazobac,u
Transderm-Nitro 5,Qortisol,u
Cordizar,Khrizcopan 10,u
Profmax,Belket,u
Ecolide,DIPP-4 PLUS,u
Acetyphil,Enervon C,u
Emzart 80,Neurophrine,u
Ezz-C,Lotadim,u
Meditrexed-500,Asterol,u
Mepracid 40,Mucoriz,u
Cerin-250,Avator,u
Pentaglobin,Histacort,u
ARB,Tacroz Forte,u
Myrevit-B Forte,Kodex,u
Pentaglobin,Amtacil,u
Amikate,Atropos,u
Tiradol,Dexplatin,u
Cefitrene 100,Welzpime 1000,u
Livamin,Milgesic Forte,u
Rozuhil-20,Prozin,u
Gabasyn,Klomif,u
Decolgen,Levesaph,u
Kodex,Fevaxid DS 250,u
Gliflomet 500 + 5,Endosine,u
Cerox,Pause 500,u
AFM,Erlocip 150,u
Extocin,Fulzimed,u
Andros,Amlobes,u
Tazidem,Simbrinza,u
Insulyf-30/70 (Biphasic),J-Tinib,u
Medicol I-400,AFM,u
Moxinova CV,Voricoz,u
Acuvis,Rotoket,u
Lozamex,Onecure,u
Asterol,Metdazid,u
DIPP-4 PLUS,Atropos,u
Diquas-S,Cetirid,u
Mepracid 40,Lotrilip,u
Astrofen,Ceftris,u
Twinrix Adult,Bico-120,u
Emzart 80,MON-G C,u
Erlocip 150,Norash,u
Josilvite,Pio-Source,u
Obrex,DIPP-4 PLUS,u
Udcapro,Ambrogen,u
Mucoriz,Meditrexed-500,u
XAMIOL,Oxalivid 100,u
Amtacil,Levesaph,u
Clofina,Luzinc,u
Livamin,Irebevex 150,u
Voriz,Fulzimed,u
Hematozol 50,Powermint,u
Hinuron-E,Ampisulmax,u
Risek 40,Luzinc,u
Ivtig,Klomif,u
Sildiaz,Emizole,u
Krijenta,Preven-Z Gold,u
Obrex,Latosil,u
Glimesaph T4,Zetron,u
Maxitron,Vomivert,u
Qortisol,Diabee,u
Rozuhil-20,SUREF,u
Aldic,Rixan 20,u
Voriz,Kodex,u
Tiradol,Julitam I.V.,u
Irbenov-300,Forair 250 DPI,u
Aziro-500,Benace,u
Taksorbet,HAPI-C + Z,u
Goxsime IV,Latosil,u
Clonisaph-Inf,Vertisaph-8,u
Fixcure,Zolid Plus,u
Dilantin,Esmazol,u
Beralipids,Saphylline,u
Saphciferol-2000,Ekosart,u
CIFREM,Zylura 80,u
Saphciferol-2000,Mentra 10,u
Ampisulmax,Prazkon,u
Flovidiazine,Emepraz-40,u
DARYTH,Khrizcopan 10,u
Pio-Source,Clavaxie 312.5 DT,u
Prazobac,Emizole,u
Valazyd AM 10/160,Andros,u
Martham,MON-G C,u
Polynerv 1000,Unotation,u
Bronchonov,Eracef-S,u
Lotadim,Voltaren Emulgel 12 Hours,u
ARB,SPIRE,u
Elifer,Epribenz-10,u
Plasid,Piorance-15,u
Triloupe,Floxsafe,u
Voricoz,DAPA-5,u
Linesave,Epribenz-10,u
Diabee,Omnicure-1,u
Mucolyptus,Lozamex,u
SUREF,Valazyd AM 10/160,u
Pranol,Brexi 0.5,u
Cefitrene 100,Emepraz-40,u
Zitabin-200,Zenkast,u
Tigilyn,Rotoket,u
Capeceen,Kodex,u
Preven-Z Gold,Acuvis,u
Nulong 10,Acecof,u
Myrevit-B Forte,Plogrel,u
Bronchonov,Qortisol,u
Amikate,Glyhart,u
Prozin,Aldic,u
Pneumocon 13,Sildiaz,u
DAPA-5,Sinustap,u
CFX-200,Saphylline,u
Fedpain,Medifortan-C Plus Zinc,u
Varivax,Tractoban,u
Dimetapp DM Cold and Cough Elixir (Colour Free),Remicade,u
Ketroxen,J-Tinib,u
White Flower SR,Hepamedica,u
Bluecozone,Feona FZ,u
Prasusafe,Bluecozone,u
Saphylline,Engerix B,u
OTOFLOX,Bluecozone,u
Hinuron-E,Mucoriz,u
Naphcon-A,Benace,u
Clavaxie 312.5 DT,Cordizar,u
Asvent,Lotadim,u
Axbin,CEFTAMED,u
Emepraz-40,Clopres,u
Ecolide,DAPA-5,u
Genoxiclav,Amidozil,u
Regivell,Medifortan-C Plus Zinc,u
Zincsulsaph,Indirab,u
Xaroban,Xylocare,u
Nebstyle 5,Essenscents,u
Piorance-15,Moxinova CV,u
Rixan 20,Uriflo-D,u
Zobexelle,Udcapro,u
Lotrilip,Hepses,u
Zenkast,Complivit Plus,u
Krijenta,Siderfol,u
Prebamin 150,Biozart 50,u
Asvimol,Glocare Plus,u
Profmax,Goxsime IV,u
OTOFLOX,Anifer,u
Irbevex 300,Transmetil,u
Belara,GOMILLIN 500,u
Xylocare,Zylura 80,u
Rozuhil-20,Cefohab,u
Emepraz-40,Gofuroxime,u
Coxigen-60,Irbenov-300,u
Belket,Xet 20,u
ESSENCEE,XAMIOL,u
Clavxytin,Transderm-Nitro 5,u
Powermint,Diquas-S,u
Amtacil,Portemp,u
Ampisulmax,Apcee,u
Normabrain-800,Goxy Inj,u
Providol,Olandus ODT 5,u
Insulyf-30/70 (Biphasic),DAPA-5,u
Strocit 4 mL,Preven-Z Gold,u
Dafenac,Transmetil,u
Feravin,Giran-16,u
Pemtero 500,Fulzimed,u
Rabaphen,Nicaright,u
Siderfol,Histacort,u
Carbastal,Ampisulmax,u
Biozart 50,Simbrinza,u
Trenaxin,Astrofen,u
Geozit,Cosopt,u
Siderfol,Dorexcef,u
Complivit Plus,Gofuroxime,u
Saphmirate-T50,Zudicort,u
Extocin,Olangem OD 20,u
Uriflo-D,Portemp,u
Saphciferol-2000,Zenkast,u
Nervilor 150,Risek 40,u
Pantopraz IV,Thiosol,u
Forair 250 DPI,Ambrogen,u
Clavaxie 312.5 DT,Maxitron,u
Xet 20,Xylocare,u
Clonisaph-Inf,Risek 40,u
Mucoriz,Xephyra 30,u
Sulbacin 0.75,Olandus ODT 5,u
Pemtero 500,Duphalac,u
Ampisulmax,Zefifarm,u
CEFTAZIDEN,Providol,u
Cosopt,Rifoxane,u
Diabee,Syngly-4,u
Xet 20,Robitussin EX,u
Mupifer-C,Zitabin-200,u
Apilone,Risek 40,u
Tylin,Udcapro,u
GOMILLIN 500,Torval-80,u
Ezz-C,Pregalife,u
Pemtero 500,Acetyphil,u
Platikon,Forair 250 DPI,u
Zefifarm,Cilosol 50,u
Acrolim 0.1,Extocin,u
White Flower SR,Piorance-15,u
Vigadexa,Mentra 10,u
Nicaright,Platikon,u
Robitussin EX,Ezz-C,u
Simbrinza,Olangem OD 20,u
Pregalife,Klomif,u
Pentaglobin,Ampic-500,u
Gliflomet 500 + 5,Avax,u
Fevaxid DS 250,Extocin,u
Ketroxen,Bronchonov,u
Atussin,Tractoban,u
Welzpime 1000,Torval H 320/12.5,u
Giran-16,Platikon,u
Essenscents,Pio-Source,u
Trenaxin,Tylin,u
Atussin,Transmetil,u
Endosine,Diflu,u
Alozure,Avator,u
Floxsafe,Voricoz,u
Emizole,Hepamedica,u
Regivell,Xaroban,u
Procee Plus,Mupisur,u
Varivax,Zetron,u
Cortef-250,Depamax,u
Avator,Bactezole,u
Clonisaph-Inf,Telday H 80/12.5,u
Zolvar,Rifoxane,u
Lozamex,G-PRAZ,u
Asvent,Accetaxime,u
Acetaffein,Eye Glo Relief,u
Nizoled-600,Diquas-S,u
Tramicet,DIPP-4 PLUS,u
J-Tinib,Epribenz-10,u
Mupisur,Prixanep-500,u
Endosine,Zudicort,u
Regivell,DAPA-5,u
Nicaright,DARYTH,u
Nature-E,Nebstyle 5,u
Remicade,Linesave,u
Axbin,Neurophrine,u
XOVIRAL,Nutri-Aid,u
Twinrix Adult,Maalum,u
Zolvar,Astrofen,u
