x_1,x_2,t_1,t_2,label
aricept,azilect,æɹaɪsəpt,æzaɪləkt,1
aripiprazole,proton pump inhibitors,æɹɪpɪpɹɐzoʊl,pɹoʊtɑːn pʌmp ɪnhɪbɪɾɚz,1
aripiprazole,rabeprazole,æɹɪpɪpɹɐzoʊl,ɹeɪbpɹɐzoʊl,1
arista ah,arixtra,æɹɪstə ɑː,æɹɪkstɹə,1
asacol,os-cal,ɐsækɑːl,oʊɛskæl,1
atomoxetine,atorvastatin,æɾəmɑːksɪtiːn,æɾoːɹvæstɐtɪn,1
atrovent,natru-vent,ætɹoʊvənt,nætɹuːvɛnt,1
avandia,coumadin,ævændiə,kaʊmɐdɪn,1
avandia,prandin,ævændiə,pɹændɪn,1
avinza,evista,ævɪnzə,ɪvɪstə,1
avinza,invanz,ævɪnzə,ɪnvænts,1
azacitidine,azathioprine,æzɐsɪɾɪdiːn,æzɐθɪɑːpɹiːn,1
b & o,beano,biː ænd oʊ,biːnoʊ,1
babybig,hbig,beɪbɪbɪg,eɪtʃbɪg,1
bamlanivimab,belimumab,bæmlɐnɪvɪmæb,bɪlɪmjuːmæb,1
bayhep-b,bayrab,beɪhɛpbiː,beɪɹæb,1
bayhep-b,bayrho-d,beɪhɛpbiː,beɪrhoʊdiː,1
bayrab,bayrho-d,beɪɹæb,beɪrhoʊdiː,1
benadryl,benazepril,bɛnɐdɹɪl,bɛneɪzpɹəl,1
benicar,mevacor,bɪnɪkɑːɹ,mɛvækɚ,1
betadine,betadine,beɪɾədaɪn,beɪɾədaɪn,1
betaine,betaine hcl,beɪɾəaɪn,beɪɾəaɪn eɪtʃsiːɛl,1
bextra,zetia,bɛkstɹə,zɛʃə,1
bicillin c-r,bicillin l-a,baɪsɪlɪn siːɑːɹ,baɪsɪlɪn ɛleɪ,1
bicitra,polycitra,baɪsɪtɹə,pɑːlɪsɪtɹə,1
bidex,videx,baɪdɛks,vaɪdɛks,1
blisovi 24 fe,blisovi fe 1/20,blɪsoʊvi twɛnti foːɹ fiː,blɪsoʊvi fiː wʌn slæʃ twɛnti,1
bio-t-gel,t-gel,baɪoʊtiːdʒɛl,tiːdʒɛl,1
brethine,methergine,bɹɛθaɪn,mɛðɚdʒɪn,1
brevibloc,brevital,bɹɛvɪblɑːk,bɹɛvaɪɾəl,1
brilinta,brintellix,bɹɪlɪntə,bɹɪntɪlɪks,1
brilinta,briviact,bɹɪlɪntə,bɹɪvɪækt,1
bupivacaine,ropivacaine,bjuːpɪveɪkeɪn,ɹɑːpɪveɪkeɪn,1
buprenorphine,hydromorphone,bʌpɹənoːɹfiːn,haɪdɹəmoːɹfoʊn,1
bupropion,buspirone,bʌpɹoʊpiən,bʌspaɪɚn,1
cabenuva,cabotegravir,keɪbnuːvə,kæboʊtgɹævɪɹ,1
capadex,kapidex,kæpeɪdɛks,kæpaɪdɛks,1
capex,kapidex,keɪpɛks,kæpaɪdɛks,1
captopril,carvedilol,kæptɑːpɹəl,kɑːɹvɪdɪlɑːl,1
carac,kuric,kæɹæk,kjʊɹɹɪk,1
carbamazepine,oxcarbazepine,kɑːɹbɐmeɪzɪpaɪn,ɑːkskɑːɹbeɪzpaɪn,1
carboplatin,cisplatin,kɑːɹbəplætɪn,sɪsplɐtɪn,1
cardene,cardizem,kɑːɹdiːn,kɑːɹdaɪzəm,1
cardura,coumadin,kɑːɹdʒuːɹə,kaʊmɐdɪn,1
casodex,kapidex,kæsoʊdɛks,kæpaɪdɛks,1
cedax,cidex,sɛdæks,saɪdɛks,1
cefazolin,cefotetan,sɛfɐzɑːlɪn,sɛfoʊttən,1
cefazolin,cefoxitin,sɛfɐzɑːlɪn,sɛfəksɪtɪn,1
cefazolin,ceftazidime,sɛfɐzɑːlɪn,sɛftɐzɪdaɪm,1
cefazolin,ceftriaxone,sɛfɐzɑːlɪn,sɛftɹɪæksoʊn,1
cefotetan,cefoxitin,sɛfoʊttən,sɛfəksɪtɪn,1
cefotetan,ceftazidime,sɛfoʊttən,sɛftɐzɪdaɪm,1
cefotetan,ceftriaxone,sɛfoʊttən,sɛftɹɪæksoʊn,1
cefoxitin,ceftazidime,sɛfəksɪtɪn,sɛftɐzɪdaɪm,1
cefoxitin,ceftriaxone,sɛfəksɪtɪn,sɛftɹɪæksoʊn,1
ceftazidime,ceftriaxone,sɛftɐzɪdaɪm,sɛftɹɪæksoʊn,1
cefuroxime,sulfasalazine,sɛfjʊɹɹɑːksaɪm,sʌlfeɪzælɐziːn,1
celebrex,celexa,sɛlɪbɹɛks,sɛlɛksə,1
celebrex,cerebyx,sɛlɪbɹɛks,sɛɹɪbɪks,1
celexa,cerebyx,sɛlɛksə,sɛɹɪbɪks,1
celexa,zyprexa,sɛlɛksə,zɪpɹɛksə,1
cetirizine,sertraline,sɛɾɪɹɪziːn,sɜːtɹəlaɪn,1
cetirizine,stavudine,sɛɾɪɹɪziːn,stævjuːdiːn,1
chlordiazepoxide,chlorpromazine,kloːɹədɪeɪzpɑːksaɪd,kloːɹəpɹɑːmɐziːn,1
chlorpromazine,chlorpropamide,kloːɹəpɹɑːmɐziːn,kloːɹəpɹɑːpɐmaɪd,1
citalopram,escitalopram,sɪɾɐlɑːpɹæm,ɛsɪtæləpɹæm,1
clarispray,claritin,klæɹɪspɹeɪ,klæɹɪtɪn,1
claritin,claritin eye,klæɹɪtɪn,klæɹɪtɪn aɪ,1
claritin-d,claritin-d 24,klæɹɪtɪndiː,klæɹɪtɪndiː twɛnti foːɹ,1
clindesse,clindets,klɪndɛs,klɪndɪts,1
clobazam,clonazepam,kloʊbɐzæm,klɑːneɪzpæm,1
clomiphene,clomipramine,klɑːmɪfiːn,kləmɪpɹɐmiːn,1
clonazepam,clonidine,klɑːneɪzpæm,klɑːnɪdiːn,1
clonazepam,clozapine,klɑːneɪzpæm,klɑːzɐpaɪn,1
clonazepam,lorazepam,klɑːneɪzpæm,loːɹeɪzpæm,1
clonidine,clozapine,klɑːnɪdiːn,klɑːzɐpaɪn,1
clonidine,klonopin,klɑːnɪdiːn,klɑːnəpɪn,1
clozaril,colazal,klɑːzɑːɹɹəl,kɑːlæzəl,1
coagulation factor ix,"factor ix complex, vapor heated",koʊægjʊleɪʃən fæktɚ ɹoʊmən naɪn,fæktɚ ɹoʊmən naɪn kɑːmplɛks veɪpɚ hiːɾɪd,1
codeine,lodine,koʊdaɪn,lɑːdiːn,1
coenzyme q10,cometriq,koʊɛnzaɪm kjuː tɛn,kəmɛtɹɪk,1
colace,cozaar,kɑːleɪs,kəzɑːɹ,1
colchicine,cortrosyn,kɑːltʃɪsiːn,kɔːɹtɹəsɪn,1
comvax,recombivax hb,kəmvæks,ɹiːkəmbɪvæks eɪtʃbiː,1
covaryx hs,covera hs,kɑːvɑːɹɹɪks eɪtʃɛs,kʌvɚɹə eɪtʃɛs,1
cozaar,zocor,kəzɑːɹ,zɑːkɚ,1
cubicin,cubicin rf,kjuːbɪsɪn,kjuːbɪsɪn ɑːɹɹɛf,1
cyclophosphamide,cycloserine,saɪkləfɑːsfɐmaɪd,saɪkloʊzɹiːn,1
cyclophosphamide,cyclosporine,saɪkləfɑːsfɐmaɪd,saɪkləspoːɹiːn,1
cycloserine,cyclosporine,saɪkloʊzɹiːn,saɪkləspoːɹiːn,1
cyclosporine,cyclosporine modified,saɪkləspoːɹiːn,saɪkləspoːɹiːn mɑːdɪfaɪd,1
cymbalta,symbyax,sɪmbæltə,sɪmbɪæks,1
dabigatran,vigabatrin,dæbɪgætɹæn,vɪgɐbætɹɪn,1
dactinomycin,daptomycin,dæktɪnəmaɪsɪn,dæptəmaɪsɪn,1
darvocet,percocet,dɑːɹvɑːsɪt,pɜːkɑːsɪt,1
darvon,diovan,dɑːɹvɑːn,dɪɑːvæn,1
daunorubicin,daunorubicin liposomal,dɔːnoːɹuːbɪsɪn,dɔːnoːɹuːbɪsɪn lɪpəsɑːməl,1
daunorubicin,doxorubicin,dɔːnoːɹuːbɪsɪn,dɑːksoːɹuːbɪsɪn,1
daunorubicin,idarubicin,dɔːnoːɹuːbɪsɪn,aɪdɑːɹɹuːbɪsɪn,1
denavir,indinavir,dɛnɐvɪɹ,ɪndɪnɐvɪɹ,1
depakote,depakote er,dɪpækoʊt,dɪpækoʊt ɜː,1
depo-medrol,solu-medrol,dɪpoʊmɛdɹɑːl,sɑːluːmɛdɹɑːl,1
depo-provera,depo-subq provera 104,dɪpoʊpɹɑːvɚɹə,dɪpoʊsʌbk pɹɑːvɚɹə wʌnhʌndɹɪd foːɹ,1
desipramine,disopyramide,dɪzɪpɹɐmiːn,dɪsɑːpɪɹæmaɪd,1
desmopressin,vasopressin,dɛzməpɹɛsɪn,væsəpɹɛsɪn,1
desyrel,seroquel,dɪsɪɹəl,sɛɹɑːkwəl,1
dexamethasone,dexmedetomidine,dɛksɐmɛθɐsoʊn,dɛksmɪdɛɾəmɪdiːn,1
dexilant,duloxetine,dɛksɪlənt,duːləksɛtiːn,1
dexmethylphenidate,dexmethylphenidate mixed salts,dɛksmɪθəlfɛnɪdeɪt,dɛksmɪθəlfɛnɪdeɪt mɪkst sɔlts,1
dexmethylphenidate,methadone,dɛksmɪθəlfɛnɪdeɪt,mɛθɐdoʊn,1
diabenese,diamox,daɪəbəniːz,daɪəmɑːks,1
diabeta,zebeta,daɪəbɛɾə,zɛbɛɾə,1
diazepam,diltiazem,daɪəzɛpæm,dɪlʃɪeɪzəm,1
diflucan,diprivan,dɪfluːkən,dɪpɹɪvæn,1
dilacor xr,pilocar,dɪlækɚɹ ɛksɑːɹ,paɪləkɑːɹ,1
dilaudid,dilaudid-5,dɪlədɪd,dɪlədɪd faɪv,1
dimenhydrinate,diphenhydramine,daɪmənhaɪdɹɪneɪt,dɪfənhaɪdɹɐmiːn,1
dioval,diovan,dɪuːvəl,dɪɑːvæn,1
diovan,zyban,dɪɑːvæn,zaɪbən,1
diprivan,ditropan,dɪpɹɪvæn,dɪtɹəpæn,1
dobutamine,dopamine,dəbjuːɾɐmiːn,dɑːpɐmiːn,1
docetaxel,paclitaxel,doʊstæksəl,pæklɪtæksəl,1
doribax,zovirax,doːɹɪbæks,zɑːvɚɹæks,1
doxil,paxil,dɑːksɪl,pæksɪl,1
doxorubicin,doxorubicin liposomal,dɑːksoːɹuːbɪsɪn,dɑːksoːɹuːbɪsɪn lɪpəsɑːməl,1
doxorubicin,idarubicin,dɑːksoːɹuːbɪsɪn,aɪdɑːɹɹuːbɪsɪn,1
dramamine,dramamine,dɹæmɐmiːn,dɹæmɐmiːn,1
dramamine,dramamine,dɹæmɐmiːn,dɹæmɐmiːn,1
dramamine,dramamine,dɹæmɐmiːn,dɹæmɐmiːn,1
dronabinol,droperidol,dɹɑːnɐbɪnɑːl,dɹoʊpɹɪdɑːl,1
dulcolax,dulcolax,dʌlkəlæks,dʌlkəlæks,1
duloxetine,fluoxetine,duːləksɛtiːn,fljuːəksɛtiːn,1
duloxetine,paroxetine,duːləksɛtiːn,pæɹəksɛtiːn,1
durasal,durezol,dʊɹɹeɪzəl,dʊɹɹɪzɑːl,1
duricef,ultracet,dʊɹɹaɪsəf,ʊltɹæsɪt,1
dynacin,dynacirc,daɪnɐsɪn,daɪnɐsɜːk,1
edetate calcium disodium,edetate disodium,ɛdɪteɪt kælsiəm dɪsoʊdiəm,ɛdɪteɪt dɪsoʊdiəm,1
effexor,effexor xr,ɛfɛksɚ,ɛfɛksɚɹ ɛksɑːɹ,1
effexor xr,enablex,ɛfɛksɚɹ ɛksɑːɹ,ɛneɪbləks,1
"elvitegravir, cobicistat, emtricitabine, and tenofovir alafenamide","elvitegravir, cobicistat, emtricitabine, and tenofovir disoproxil fumarate",ɛlvaɪtgɹævɪɹ kɑːbɪsɪstæt ɛmtɹɪsɪtæbaɪn ænd tɛnəfɑːvɪɹ ɐleɪfnɐmaɪd,ɛlvaɪtgɹævɪɹ kɑːbɪsɪstæt ɛmtɹɪsɪtæbaɪn ænd tɛnəfɑːvɪɹ dɪsɑːpɹəksɪl fjuːmæɹət,1
enbrel,levbid,ɛnbɹɛl,lɛvbɪd,1
engerix-b adult,engerix-b pediatric/adolescent,ɛndʒɛɹɪksbiː ɐdʌlt,ɛndʒɛɹɪksbiː piːdɪætɹɪk slæʃ ædəlɛsənt,1
enjuvia,januvia,ɛndʒuːviə,dʒænuːviə,1
ephedrine,epinephrine,ɛfɪdɹiːn,ɛpɪnɛfɹiːn,1
epirubicin,eribulin,ɛpɪɹuːbɪsɪn,ɛɹɪbjʊlɪn,1
estratest,estratest hs,ɛstɹeɪtɪst,ɛstɹeɪtɪst eɪtʃɛs,1
ethambutol,ethmozine,ɛθɐmbjuːɾɑːl,ɛθməziːn,1
ethaverine,etravirine,ɛθɐvɚɹiːn,ɪtɹævɪɹiːn,1
ethionamide,ethosuximide,iːθɪɑːnɐmaɪd,iːθəsʌksɪmaɪd,1
fanapt,xanax,fænæpt,zænæks,1
farxiga,fetzima,fɑːɹksɪgə,fɛtsɪmə,1
fastin,fastin,fæstɪn,fæstɪn,1
femara,femhrt,fɛmɑːɹɹə,fɛmhət,1
fentanyl,sufentanil,fɛntɐnaɪl,suːfəntænɪl,1
fioricet,fiorinal,fɪoːɹɪsɪt,fɪoːɹɪnəl,1
flavoxate,fluvoxamine,fleɪvəkseɪt,fluːvɑːksɐmiːn,1
flonase,flovent,flɑːneɪs,flʌvɛnt,1
floranex,florinef,floːɹeɪnɛks,flɔːɹaɪnəf,1
florastor,florinef,floːɹæstɚ,flɔːɹaɪnəf,1
flumazenil,influenza virus vaccine,fluːmeɪznɪl,ɪnfluːɛnzə vaɪɹəs væksiːn,1
fluoxetine,loxitane,fljuːəksɛtiːn,lɑːksɪteɪn,1
fluoxetine,paroxetine,fljuːəksɛtiːn,pæɹəksɛtiːn,1
fluphenazine,fluvoxamine,flʌfənæziːn,fluːvɑːksɐmiːn,1
fluzone high-dose quadrivalent,fluzone quadrivalent,fluːzoʊn haɪdoʊs kwɑːdɹaɪvələnt,fluːzoʊn kwɑːdɹaɪvələnt,1
focalgin b,focalin,foʊkɐldʒɪn biː,foʊkɐlɪn,1
folex,foltx,foʊlɛks,foʊltɛks,1
folic acid,folinic acid,fɑːlɪk æsɪd,fəlɪnɪk æsɪd,1
fomepizole,omeprazole,foʊmpɪzoʊl,oʊmpɹɐzoʊl,1
foradil,fortical,fɔːɹɐdɪl,fɔːɹɾɪkəl,1
foradil,toradol,fɔːɹɐdɪl,toːɹɐdɑːl,1
gabapentin,gemfibrozil,gæbeɪpɛntɪn,dʒɛmfɪbɹɑːzɪl,1
gentamicin,gentian violet,dʒɛntɐmɪsɪn,dʒɛnʃən vaɪəlɪt,1
glipizide,glyburide,glɪpɪzaɪd,glaɪbɪɹaɪd,1
glucotrol,glycotrol,gluːkətɹɑːl,glaɪkətɹɑːl,1
granulex,regranex,gɹænuːlɛks,ɹɪgɹeɪnɛks,1
guaifenesin,guanfacine,gwɑːaɪfnɛsɪn,gwɑːnfɐsiːn,1
healon,hyalgan,hiːlɑːn,haɪælgən,1
heparin,hespan,hɛpɚɹɪn,hɛspæn,1
hmg-coa reductase inhibitors,nystatin,eɪtʃɛmdʒiːkoʊɚ ɹɪdʌkteɪs ɪnhɪbɪɾɚz,nɪstɐtɪn,1
humalog,humulin,hjuːmɐlɑːg,hjuːmjʊlɪn,1
humalog,novolog,hjuːmɐlɑːg,nɑːvəlɑːg,1
humalog mix 75/25,humulin 70/30,hjuːmɐlɑːg mɪks sɛvənti faɪv slæʃ twɛnti faɪv,hjuːmjʊlɪn sɛvənti slæʃ θɜːɾi,1
humapen memoir,humira pen,hjuːmeɪpən mɛmwɑːɹ,hjuːmiəɹə pɛn,1
humulin,novolin,hjuːmjʊlɪn,nɑːvəlɪn,1
humulin r u-100,humulin r u-500,hjuːmjʊlɪn ɑːɹ juː wʌnhʌndɹɪd,hjuːmjʊlɪn ɑːɹ juː faɪvhʌndɹɪd,1
hydralazine,hydrochlorothiazide,haɪdɹɐlæziːn,haɪdɹəkloːɹoʊθɪeɪzaɪd,1
hydralazine,hydromorphone,haɪdɹɐlæziːn,haɪdɹəmoːɹfoʊn,1
hydralazine,hydroxyzine,haɪdɹɐlæziːn,haɪdɹɑːksɪziːn,1
hydrea,lyrica,haɪdɹiə,lɪɹɪkə,1
hydrochlorothiazide,hydroxyzine,haɪdɹəkloːɹoʊθɪeɪzaɪd,haɪdɹɑːksɪziːn,1
hydrochlorothiazide,hydroxychloroquine,haɪdɹəkloːɹoʊθɪeɪzaɪd,haɪdɹɑːksɪkloːɹoʊkwaɪn,1
hydrocodone,oxycodone,haɪdɹəkɑːdoʊn,ɑːksɪkɑːdoʊn,1
hydrogesic,hydroxyzine,haɪdɹoʊdʒzɪk,haɪdɹɑːksɪziːn,1
hydromorphone,hydroxyzine,haɪdɹəmoːɹfoʊn,haɪdɹɑːksɪziːn,1
hydromorphone,morphine,haɪdɹəmoːɹfoʊn,mɔːɹfiːn,1
hydromorphone,oxymorphone,haɪdɹəmoːɹfoʊn,ɑːksɪmoːɹfoʊn,1
hydroxychloroquine,hydroxyurea,haɪdɹɑːksɪkloːɹoʊkwaɪn,haɪdɹɑːksɪjuːɹiə,1
hydroxyprogesterone,medroxyprogesterone,haɪdɹɑːksɪpɹoʊdʒstɚɹoʊn,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,1
hydroxyurea,hydroxyzine,haɪdɹɑːksɪjuːɹiə,haɪdɹɑːksɪziːn,1
hydroxyurea,ure-na,haɪdɹɑːksɪjuːɹiə,jʊɹnɑː,1
idarubicin,idarucizumab,aɪdɑːɹɹuːbɪsɪn,aɪdɑːɹɹuːsɪzjuːmæb,1
ilaris,ilumya,ɪlɑːɹɹɪs,ɪləmɪə,1
infliximab,rituximab,ɪnflɪksɪmæb,ɹɪɾəksɪmæb,1
influenza virus vaccine,perflutren lipid microspheres,ɪnfluːɛnzə vaɪɹəs væksiːn,pɜːflʌtɹən lɪpɪd maɪkɹoʊsfɪɹz,1
influenza virus vaccine,tuberculin purified protein derivative,ɪnfluːɛnzə vaɪɹəs væksiːn,tuːbɚkjʊlɪn pjʊɹɹɪfaɪd pɹoʊtiːn dɪɹɪvətɪv,1
inspra,spiriva,ɪnspɹɑː,spɪɹɪvə,1
intuniv,invega,ɪntuːnɪv,ɪnviːgə,1
iodine,lodine,aɪədiːn,lɑːdiːn,1
isordil,plendil,aɪsoːɹdɪl,plɛndɪl,1
isotretinoin,tretinoin,aɪsətɹɛtɪnɔɪn,tɹɛtɪnɔɪn,1
jantoven,janumet,dʒæntoʊvən,dʒænuːmɪt,1
jantoven,januvia,dʒæntoʊvən,dʒænuːviə,1
janumet,januvia,dʒænuːmɪt,dʒænuːviə,1
janumet,sinemet,dʒænuːmɪt,saɪnmɪt,1
kadian,kapidex,keɪdiən,kæpaɪdɛks,1
kaletra,keppra,kælɛtɹə,kɛpɹə,1
kaopectate,kaopectate,keɪəpɛkteɪt,keɪəpɛkteɪt,1
kay ciel,kayexalate,keɪ siːl,keɪɪksæleɪt,1
keflex,keppra,kɛflɛks,kɛpɹə,1
ketalar,ketorolac,kɛɾælɚ,kɛɾoːɹɑːlæk,1
ketamine,ketorolac,kɛɾɐmiːn,kɛɾoːɹɑːlæk,1
ketorolac,methadone,kɛɾoːɹɑːlæk,mɛθɐdoʊn,1
k-phos neutral,neutra-phos-k,keɪfoʊz nuːtɹəl,nuːtɹəfoʊzkeɪ,1
kwell,qwell,kwɛl,kjuːwɛl,1
labetalol,lamictal,læbɪtælɑːl,læmɪktəl,1
labetalol,lamotrigine,læbɪtælɑːl,læmətɹɪdʒɪn,1
lamictal,lamisil,læmɪktəl,læmɪsəl,1
lamivudine,lamotrigine,læmɪvjuːdiːn,læmətɹɪdʒɪn,1
lamotrigine,levetiracetam,læmətɹɪdʒɪn,lɛvɪtɜːɹɐsɛɾæm,1
lamotrigine,levothyroxine,læmətɹɪdʒɪn,lɛvəθɪɹəksaɪn,1
lanoxin,levothyroxine,lænəksɪn,lɛvəθɪɹəksaɪn,1
lanoxin,naloxone,lænəksɪn,næləksoʊn,1
lanthanum carbonate,lithium carbonate,lænθænəm kɑːɹbəneɪt,lɪθiəm kɑːɹbəneɪt,1
lantus,latuda,læntəs,lætuːdə,1
lantus,lente,læntəs,lɛnt,1
lariam,levaquin,lɛɹiəm,lɛvɐkwɪn,1
lasix,luvox,læsɪks,luːvɑːks,1
lasix,wakix,læsɪks,wækɪks,1
letairis,letaris,lɛɾɛɹɪs,lɛtɑːɹɹɪs,1
leucovorin calcium,leukeran,luːkəvoːɹɪn kælsiəm,luːkɚɹən,1
leucovorin calcium,levoleucovorin,luːkəvoːɹɪn kælsiəm,lɛvoʊljuːkəvoːɹɪn,1
leukeran,myleran,luːkɚɹən,maɪlɚɹən,1
levemir,lovenox,lɛvɪmɪɹ,lʌvnɑːks,1
levetiracetam,levocarnitine,lɛvɪtɜːɹɐsɛɾæm,lɛvəkɑːɹnɪtiːn,1
levetiracetam,levofloxacin,lɛvɪtɜːɹɐsɛɾæm,lɛvəflɑːksɐsɪn,1
levothyroxine,liothyronine,lɛvəθɪɹəksaɪn,lɪɑːθɪɹɑːnaɪn,1
lexapro,loxitane,lɛksæpɹoʊ,lɑːksɪteɪn,1
lexiva,pexeva,lɛksɪvə,pɛksɛvə,1
linaclotide,linagliptin,lɪnɐklɑːɾaɪd,lɪnɐglɪptɪn,1
lipitor,loniten,lɪpɪɾɚ,lɑːnaɪʔn,1
lipitor,zyrtec,lɪpɪɾɚ,zɪətɛk,1
lithium,ultram,lɪθiəm,ʌltɹæm,1
lopressor,lyrica,lɑːpɹɛsɚ,lɪɹɪkə,1
lorazepam,lovaza,loːɹeɪzpæm,lʌvɑːzə,1
lotronex,protonix,lɑːtɹoʊnɛks,pɹoʊtənɪks,1
loxitane,soriatane,lɑːksɪteɪn,soːɹɪæteɪn,1
lunesta,neulasta,lʌnɛstə,nuːlæstə,1
lupron depot-3 month,lupron depot-ped,lʌpɹɑːn diːpoʊ θɹiː mʌnθ,lʌpɹɑːn diːpoʊpɛd,1
maalox,maalox total stomach relief,mɑːlɑːks,mɑːlɑːks toʊɾəl stʌmək ɹɪliːf,1
malarone,mefloquine,mælɐɹoʊn,mɛfləkwaɪn,1
materna,matulane,mətɜːnə,mætʃəleɪn,1
maxzide,microzide,mækszaɪd,maɪkɹoʊzaɪd,1
medroxyprogesterone,methylprednisolone,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,mɛθəlpɹɛdnɪsɑːloʊn,1
medroxyprogesterone,methyltestosterone,mɛdɹəksɪpɹoʊdʒstɚɹoʊn,mɛθəlɾɪstɑːstɚɹoʊn,1
memantine,methadone,mɛmɐntiːn,mɛθɐdoʊn,1
menactra,menomune,mɛnæktɹə,mɛnəmjuːn,1
mephyton,methadone,mɛfɪtən,mɛθɐdoʊn,1
metadate,methadone,mɛɾədeɪt,mɛθɐdoʊn,1
metadate cd,metadate er,mɛɾədeɪt siːdiː,mɛɾədeɪt ɜː,1
metadate er,methadone,mɛɾədeɪt ɜː,mɛθɐdoʊn,1
metformin,metronidazole,mɛtfoːɹmɪn,mɛtɹənɪdɐzoʊl,1
methadone,methylphenidate,mɛθɐdoʊn,mɛθəlfɛnɪdeɪt,1
methadone,metolazone,mɛθɐdoʊn,mɛɾəlæzoʊn,1
methazolamide,methimazole,mɛθeɪzɑːlɐmaɪd,mɛθɪmæzoʊl,1
methazolamide,metolazone,mɛθeɪzɑːlɐmaɪd,mɛɾəlæzoʊn,1
methimazole,metolazone,mɛθɪmæzoʊl,mɛɾəlæzoʊn,1
methotrexate,metolazone,mɛθətɹɛkseɪt,mɛɾəlæzoʊn,1
methotrexate,mtx patch,mɛθətɹɛkseɪt,ɛmtiːɛks pætʃ,1
methylene blue,visionblue,mɛθɪliːn bluː,vɪʒənbluː,1
methylprednisolone,methyltestosterone,mɛθəlpɹɛdnɪsɑːloʊn,mɛθəlɾɪstɑːstɚɹoʊn,1
metoprolol succinate,metoprolol tartrate,mɛɾəpɹɑːlɑːl səksɪneɪt,mɛɾəpɹɑːlɑːl tɑːɹtɹeɪt,1
metyrapone,metyrosine,mɛɾɪɹæpoʊn,mɛɾɪɹɑːsaɪn,1
