x_1,t_1,x_2,t_2,label
menquadfi,mɛŋkwɑːdfi,dequadin lemon,dɛkwədɪn lɛmən,1
pacitel 30,pæsɪɾəl θɜːɾi,paclimed 30,pæklaɪmd θɜːɾi,1
ephalox,ɛfɐlɑːks,cephalex,sɛfeɪlɛks,1
xygyn,zaɪdʒɪn,primigyn,pɹɪmɪdʒɪn,1
kalmeco,kælmiːkoʊ,kalem c,keɪləm siː,1
bucligen,bʌklaɪdʒən,mecligen,mɛklaɪdʒən,1
chiamin s,tʃaɪəmɪn ɛs,chiamin s 2,tʃaɪəmɪn ɛs tuː,1
atracursaph,ætɹɐkɜːsæf,atorsaph,æɾɔːɹsæf,1
metfor pr 1000,mɛtfɚ piːɑːɹ wʌn θaʊzənd,melfor,mɛlfɚ,1
lexibase,lɛksɪbeɪs,cefalexin as monohydrate,sɛfeɪlksɪn æz mɑːnoʊhaɪdɹeɪt,1
omecore,oʊmkɔːɹ,omcare,ɑːmkɛɹ,1
levollen,lɛvɑːlən,sevollen,sɛvɑːlən,1
moxidin,mɑːksɪdɪn,comoxdin,kəmɑːksdɪn,1
zoledius 4,zoʊldɪəs fɔːɹ,zolev,zoʊləv,1
halonol,heɪlənɑːl,haldol decanoas,hældɑːl dɪkɐnoʊəz,1
aspishield,æspɪʃiːld,micoshield,mɪkəʃiːld,1
startline 50,stɑːɹtlaɪn fɪfti,octin 50,ɑːktɪn fɪfti,1
amlogen,æmlədʒən,amlon,æmlɑːn,1
yulareb,juːlɛɹb,flarex,flɛɹks,1
ansed,ænst,ansulmed,ænsʌlmd,1
acellbia,ɐsɛlbiə,accellac,ɐksɛlæk,1
anb d5w,ænb diː faɪv dʌbəljuː,arb,ɑːɹb,1
relidomide 15,ɹɪlɪdəmaɪd fɪftiːn,relidomide 25,ɹɪlɪdəmaɪd twɛnti faɪv,1
omepracent 40,oʊmpɹeɪsənt fɔːɹɾi,noric 40,nɔːɹɪk fɔːɹɾi,1
clottam,klɑːɾæm,lotram,lɑːtɹæm,1
risgen,ɹɪsdʒən,rosgen,ɹɑːsdʒən,1
febuhil,fɛbjuːhɪl,febrinil,fɛbɹɪnɪl,1
bonsenz,bɑːnsɛnts,ginsenz,dʒɪnsɛnts,1
affolac,ɐfɑːlæk,apfolic,ɐpfɑːlɪk,1
clonisaph 75,klɑːnɪsæf sɛvənti faɪv,clonisea,klənaɪsiə,1
normglubin,nɔːɹmgluːbɪn,lynorm,laɪnɔːɹm,1
predfirst,pɹɪdfɜːst,parafirst,pæɹəfɜːst,1
prohexon 300,pɹoʊhɛksən θɹiːhʌndɹɪd,prohexon 350,pɹoʊhɛksən θɹiːhʌndɹɪd fɪfti,1
robitussin,ɹɑːbaɪtʌsɪn,atussin,æɾəsɪn,1
ponser,pɑːnsɚ,ponstan sf,pɑːnstən ɛsɛf,1
amnoset,æmnəsɛt,amso,æmsoʊ,1
muprivex,mʌpɹɪvɛks,mupirex,mjuːpaɪɚks,1
celeb 200,sɛlɛb tuːhʌndɹɪd,celebrex 400,sɛlɪbɹɛks fɔːɹhʌndɹɪd,1
tigecid,taɪgɪsɪd,tricid s,tɹaɪsɪd ɛs,1
immubulin,ɪmjuːbjʊlɪn,blinda,blaɪndə,1
paratuss,pæɹətʌs,para plus,pæɹə plʌs,1
combifen,kəmbaɪfən,combiflex lipid peri,kəmbɪflɛks lɪpɪd pɛɹi,1
laberfen,læbɚfən,allerfen,ælɚfən,1
bactrigon,bæktɹɪgən,trizon,tɹaɪzɑːn,1
amphot,æmfɑːt,amphotret,æmfɑːtɹɪt,1
elmox cv 3125,ɛlmɑːks siːviː θɹiː θaʊzənd wʌnhʌndɹɪd twɛnti faɪv,elmox cv 457,ɛlmɑːks siːviː fɔːɹhʌndɹɪd fɪfti sɛvən,1
gozol iv,gɑːzɑːl ɹoʊmən fɔːɹ,gezole iv,dʒɛzoʊl ɹoʊmən fɔːɹ,1
norphed,nɔːɹft,norphrine 1,nɔːɹfɹiːn wʌn,1
doctaxel,dɑːktæksəl,medtaxel 100,mɛdtæksəl wʌnhʌndɹɪd,1
c flam,siː flæm,better c plus,bɛɾɚ siː plʌs,1
sorbance 5,sɔːɹbəns faɪv,felo 5,fiːloʊ faɪv,1
finaplasia 1,faɪnɐpleɪʒə wʌn,finaplasia 5,faɪnɐpleɪʒə faɪv,1
durazol,dʊɹɹɐzɑːl,frazole,fɹæzoʊl,1
kaptroban,kæptɹɑːbən,bactroban,bæktɹɑːbən,1
lexibase,lɛksɪbeɪs,flexipas,flɛksɪpəz,1
qualcet,kwɔlsɪt,qualicef,kwɔlaɪsəf,1
gentagem,dʒɛnteɪdʒəm,gentam,dʒɛntæm,1
afebrin tf,ɐfɛbɹɪn tiːɛf,febrinil,fɛbɹɪnɪl,1
prohexon 300,pɹoʊhɛksən θɹiːhʌndɹɪd,ashexol 300,æʃɪksɑːl θɹiːhʌndɹɪd,1
xeomin,zɪɑːmɪn,xerin,zɛɹɪn,1
leucowel,luːkaʊəl,leukocel,luːkoʊsəl,1
lipirid,lɪpɪɹɪd,mipride,mɪpɹaɪd,1
lifort,lɪfɔːɹt,glixfort,glɪksfɔːɹt,1
metfor pr 1000,mɛtfɚ piːɑːɹ wʌn θaʊzənd,metpro 1000,mɛtpɹoʊ wʌn θaʊzənd,1
njectzole,ɛndʒɛktsoʊl,cezole,sɛzoʊl,1
metocol,mɛɾəkɑːl,metoclosil,mɛɾəklɑːsəl,1
njectzole,ɛndʒɛktsoʊl,njectxone,ɛndʒɛktksoʊn,1
ceprime,sɛpɹaɪm,cefrime 750,sɛfɹaɪm sɛvənhʌndɹɪd fɪfti,1
crezet,kɹɛzɪt,c zett,siː zɛt,1
onefix,wʌnfɪks,benefix,bɛnɪfɪks,1
mupivita,mjuːpɪviːɾə,mupin,mjuːpɪn,1
kaptroban,kæptɹɑːbən,s troban,ɛs tɹoʊbən,1
maxidine,mæksɪdiːn,maxidin,mæksɪdɪn,1
telmiheart plus 925,tɛlmɪhɑːɹt plʌs naɪnhʌndɹɪd twɛnti faɪv,ampinex plus,æmpaɪnɛks plʌs,1
hema k,hɛmə keɪ,hemarate fa,hɛmæɹət fɑː,1
rapidon,ɹæpɪdən,raphibon,ɹæfɪbən,1
drapolene,dɹæpoʊliːn,diprolene,dɪpɹoʊliːn,1
rabaphen,ɹæbæfən,traphen,tɹæfən,1
amloval 160 10,æmluːvəl wʌnhʌndɹɪd sɪksti tɛn,amloval 160 5,æmluːvəl wʌnhʌndɹɪd sɪksti faɪv,1
clozol,klɑːzɑːl,clotizole,klɑːɾɪzoʊl,1
ketoguard,kɛɾəgɑːɹd,keto,kiːɾoʊ,1
montior l,mɔntjɚɹ ɛl,monti plus,mɔnti plʌs,1
sitplixin 100,sɪtplɪksɪn wʌnhʌndɹɪd,sitplixin 50,sɪtplɪksɪn fɪfti,1
combifen,kəmbaɪfən,bufen,bjuːfən,1
perazovic,pɛɹɐzɑːvɪk,prazobac,pɹæzəbæk,1
dutasusaph,duːɾɐsuːsæf,dutass,duːɾæs,1
rh com,ɑːɹɹeɪtʃ kɑːm,beecom c ace,biːkɑːm siː eɪs,1
vitlex,vɪtlɛks,vitalex 500,vaɪɾeɪlɛks faɪvhʌndɹɪd,1
blirelin,blaɪɚlɪn,blicardene,blɪkɑːɹdiːn,1
gerdsol,dʒɜːdsɑːl,gesidol,dʒɛsɪdɑːl,1
celence 400,sɛləns fɔːɹhʌndɹɪd,celebrex 400,sɛlɪbɹɛks fɔːɹhʌndɹɪd,1
madovin,mædəvɪn,amlovin,æmləvɪn,1
permetrizz,pɜːmɪtɹɪz,medtri,mɛdtɹi,1
sorbance 5,sɔːɹbəns faɪv,eslo 5,ɛsloʊ faɪv,1
varivax,vɑːɹɹɪvæks,vivaxime 500,vɪvɐksaɪm faɪvhʌndɹɪd,1
fusidasol,fjuːsɪdæsɑːl,fusitas,fjuːsiːɾəz,1
puxenon,pʌksɛnən,proxen,pɹɑːksən,1
flosazin,flɑːsɐzɪn,daflozin,dæfləzɪn,1
pantosaph 20,pæntəsæf twɛnti,ojos 20,oʊdʒoʊz twɛnti,1
optinova,ɑːptɪnoʊvə,pentinova 300,pɛntɪnoʊvə θɹiːhʌndɹɪd,1
praxolin 150,pɹæksəlɪn wʌnhʌndɹɪd fɪfti,paxol,pæksɑːl,1
combe five,kəmɛ faɪv,momefine,moʊmfaɪn,1
febstat 40,fɛbstæt fɔːɹɾi,retatel plus 40 10,ɹɪteɪɾəl plʌs fɔːɹɾi tɛn,1
healthcare grille,hɛlθkɛɹ gɹɪl,healthcare tinea,hɛlθkɛɹ tɪniə,1
aizerone,aɪzɚɹoʊn,liverone,lɪvɚɹoʊn,1
fenitin,fɛnɪtɪn,danitin,dænɪtɪn,1
vildalion m 550,vɪldæliən ɛm faɪvhʌndɹɪd fɪfti,vildalion m 1050,vɪldæliən ɛm wʌn θaʊzənd fɪfti,1
izon,aɪzɑːn,izon b6,aɪzɑːn biː sɪks,1
thiamine mononitrate vit b pyridoxine hydrochloride vit b6 cyanocobalamin vit b12,θaɪəmaɪn mɑːnoʊnaɪtɹeɪt vɪt biː pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vɪt biː sɪks saɪɐnɑːkəbælɐmɪn vɪt biː twɛlv,thiamine hydrochloride vitamin b1 pyridoxine hydrochloride vitamin b6 cyanocobalamin vitamin b12,θaɪəmaɪn haɪdɹəklɔːɹaɪd vaɪɾəmɪn biː wʌn pɪɹɪdɑːksaɪn haɪdɹəklɔːɹaɪd vaɪɾəmɪn biː sɪks saɪɐnɑːkəbælɐmɪn vaɪɾəmɪn biː twɛlv,1
fozal,foʊzəl,focale,foʊkeɪl,1
rapid c plus d1000,ɹæpɪd siː plʌs diː wʌn θaʊzənd,rapid c,ɹæpɪd siː,1
tioconazole tinidazole,tɪɑːkənæzoʊl tɪnɪdæzoʊl,nidaz,nɪdæz,1
telmiheart 40,tɛlmɪhɑːɹt fɔːɹɾi,telmiheart 80,tɛlmɪhɑːɹt eɪɾi,1
sevomond,sɛvɑːmənd,sevofran,sɛvɑːfɹən,1
celtere,kɛltɚ,celtrix,kɛltɹɪks,1
madovin,mædəvɪn,madrovas 20,mædɹoʊvəz twɛnti,1
zandropil,zændɹɑːpəl,atrophil,ætɹəfɪl,1
healthcare grille,hɛlθkɛɹ gɹɪl,healthgard,hɛlθgɑːɹd,1
tenol,tɛnɑːl,atenol 100,eɪtnɑːl wʌnhʌndɹɪd,1
metrex,miːɾɚks,pemtrex,pɛmtɹɛks,1
zandropil,zændɹɑːpəl,drospill,dɹɑːspɪl,1
spevigo,spɛvɪgoʊ,nervigo,nɜːvɪgoʊ,1
gozol iv,gɑːzɑːl ɹoʊmən fɔːɹ,gozolin,gɑːzəlɪn,1
vizef,vaɪzəf,trizef,tɹaɪzɛf,1
tioconazole tinidazole,tɪɑːkənæzoʊl tɪnɪdæzoʊl,aldazole,ɔːldɐzoʊl,1
herperax,hɜːpɚɹæks,herpex,hɜːpɛks,1
ceftrash 1000,sɛftɹæʃ wʌn θaʊzənd,ceftrex,sɛftɹɛks,1
gablin,gæblɪn,regabalin,ɹɪgæbɐlɪn,1
lipibrate,lɪpɪbɹeɪt,ibra,ɪbɹə,1
aubrex,ɔːbɹɛks,abrexin,ɐbɹɛksɪn,1
ephalox,ɛfɐlɑːks,cefaclox,sɛfɐklɑːks,1
affolac,ɐfɑːlæk,folacid,fɑːlɐsɪd,1
rifelac,ɹaɪflæk,trilac,tɹaɪlæk,1
hizid,hɪzɪd,irzid,ɜːzɪd,1
magnilek,mægnaɪlək,magnafer,mægneɪfɚ,1
amnoset,æmnəsɛt,amkoket,æmkɑːkɪt,1
endusol r,ɛnduːsɑːl ɑːɹ,multisol r in d5 water,mʌltisɑːl ɑːɹ ɪn diː faɪv wɔːɾɚ,1
minox 5,mɪnɑːks faɪv,aminoplasmal b braun 5 e,ɐmɪnəplæzməl biː bɹɔːn faɪv iː,1
ceftrash 1000,sɛftɹæʃ wʌn θaʊzənd,ceftax,sɛftæks,1
insuget 70 30,ɪnsuːgɪt sɛvənti θɜːɾi,insuget r,ɪnsuːgɪt ɑːɹ,1
clobesaph,kloʊbsæf,globisaph,glɑːbɪsæf,1
rainoxone,ɹeɪnəksoʊn,inox,ɪnɑːks,1
silrec 50,sɪlɹɛk fɪfti,jansar 50 plus,dʒænsɑːɹ fɪfti plʌs,1
extreme c,ɛkstɹiːm siː,c zett,siː zɛt,1
clophen,klɑːfən,saphclophenesin,sæfkləfɛnɪsɪn,1
vitlex,vɪtlɛks,vitaplex b,vɪɾɐplɛks biː,1
lifort,lɪfɔːɹt,iriforte 4,ɪɹɪfɔːɹɾeɪ fɔːɹ,1
fusidasol,fjuːsɪdæsɑːl,fucid,fjuːsɪd,1
normglubin,nɔːɹmgluːbɪn,normak,nɔːɹmæk,1
ascorp cee,ɐskɔːɹp siː,ascorb,ɐskɔːɹb,1
celeb 200,sɛlɛb tuːhʌndɹɪd,celex,sɛlɛks,1
dutasusaph,duːɾɐsuːsæf,tamsusaph 400,tæmsuːsæf fɔːɹhʌndɹɪd,1
cutasept f colorless,kjuːɾeɪsəpt ɛf kʌlɚləs,cutasept f,kjuːɾeɪsəpt ɛf,1
fentyn,fɛntɪn,trofentyl,tɹoʊfəntaɪl,1
fentyn,fɛntɪn,fensyd,fɛnsɪd,1
xanginart,zændʒɪnɑːɹt,xanem,zeɪnəm,1
ansed,ænst,astedart,ɐstɛdɑːɹt,1
paratuss,pæɹətʌs,clarituss,klæɹɪtʌs,1
united home dermatec,juːnaɪɾɪd hoʊm dɜːmeɪɾək,lomatec,lɑːmeɪɾək,1
paranat,pæɹənæt,prenat,pɹɪnæt,1
lipibrate,lɪpɪbɹeɪt,ipratec,ɪpɹeɪɾək,1
gentagem,dʒɛnteɪdʒəm,aletagem 200,ɐlɛɾeɪdʒəm tuːhʌndɹɪd,1
kalmeco,kælmiːkoʊ,almetica,ɔlmɛɾɪkə,1
sethair duo,sɛɾaɪɚ duːoʊ,kastair,kæstɛɹ,1
drapolene,dɹæpoʊliːn,rapizole,ɹæpɪzoʊl,1
flammasul,flæmæsəl,flammazine,flæmɐziːn,1
telmiheart 40,tɛlmɪhɑːɹt fɔːɹɾi,elzar 40,ɛlzɑːɹ fɔːɹɾi,1
clottam,klɑːɾæm,clotritas,klətɹiːɾəz,1
rinobact spray,ɹɪnəbækt spɹeɪ,rhinol,ɹaɪnɑːl,1
clindamycin as hydrochloride,klɪndɐmaɪsɪn æz haɪdɹəklɔːɹaɪd,mycin,maɪsɪn,1
allutamide,ɐluːɾɐmaɪd,tamin,tæmɪn,1
arpipo,ɑːɹpɪpoʊ,arpivex 10,ɑːɹpɪvɛks tɛn,1
prolipidz,pɹɑːlɪpɪdz,prolix,pɹɑːlɪks,1
mupivita,mjuːpɪviːɾə,mupivaroz,mjuːpɪvæɹɑːz,1
menquadfi,mɛŋkwɑːdfi,equfina,ɛkwəfaɪnə,1
febsan 120,fɛbsən wʌnhʌndɹɪd twɛnti,febstat 40,fɛbstæt fɔːɹɾi,1
alprazitel,ælpɹeɪzɪɾəl,prazic,pɹeɪzɪk,1
acode 200,ækoʊd tuːhʌndɹɪd,acode 100,ækoʊd wʌnhʌndɹɪd,1
altussan,ɔːltʌsən,salusan,sæluːsən,1
biopril,baɪoʊpɹɪl,biopred,baɪoʊpɹɛd,1
allutamide,ɐluːɾɐmaɪd,dimide,dɪmaɪd,1
metsaphtin 50 850,mɛtsɐftɪn fɪfti eɪthʌndɹɪd fɪfti,aartmin 850,ɑːɹtmɪn eɪthʌndɹɪd fɪfti,1
predixone,pɹiːdɪksoʊn,predex,pɹɪdɛks,1
glutarite,gluːɾɑːɹɹaɪt,glucart,gluːkɑːɹt,1
xygyn,zaɪdʒɪn,broxygen,bɹɑːksɪdʒən,1
cizolin,sɪzəlɪn,zolin iv,zɑːlɪn ɹoʊmən fɔːɹ,1
melifrin ds,mɛlɪfɹɪn diːɛs,melifirin,mɛlɪfɪɹɪn,1
normglubin,nɔːɹmgluːbɪn,gludin,gluːdɪn,1
aldopiem,ɔːldoʊpɪm,aldomet,ɔːldɑːmɪt,1
felizen,fɛlɪzən,folazen,fɑːleɪzən,1
gablin,gæblɪn,gabalion 100,gæbæliən wʌnhʌndɹɪd,1
esonex iv,ɛsoʊnɛks ɹoʊmən fɔːɹ,esomex,ɛsoʊmɛks,1
crezet,kɹɛzɪt,atorzet 40,æɾɔːɹzɪt fɔːɹɾi,1
fozal,foʊzəl,affozole,ɐfɑːzoʊl,1
asmagen,ɐsmeɪdʒən,astagen,ɐsteɪdʒən,1
imbruvica,ɪmbɹuːvɪkə,vorica,vɔːɹɪkə,1
natrasol plus,nætɹɐsɑːl plʌs,iso plus,aɪzoʊ plʌs,1
melanov mr 30,mɛlɐnɑːv mɪstɚ θɜːɾi,melmag,mɛlmæg,1
coughsaph 1,kɔfsæf wʌn,s 1 20,ɛs wʌn twɛnti,1
rapid c plus d1000,ɹæpɪd siː plʌs diː wʌn θaʊzənd,rapid c plus,ɹæpɪd siː plʌs,1
montelev,mɔntɪlɛv,montelukast as sodium,mɔntɪluːkæst æz soʊdiəm,1
dermaidmanza,dɜːmeɪdmænzə,dermafina,dɜːmɐfaɪnə,1
tracrium,tɹækɹiəm,tracid,tɹæsɪd,1
rivanex 20,ɹɪveɪnɛks twɛnti,rixan 20,ɹɪksən twɛnti,1
essencia maravillosa,ɛsɛnʃə mæɹɐvɪloʊsə,marvit,mɑːɹvɪt,1
osteomeg,ɑːstɪoʊməg,osteofree,ɑːstɪɑːfɹiː,1
vuznerv,vʌznɜːv,zynerva,zaɪnɚvə,1
hidrasec,hɪdɹeɪsək,hirafen,hɜːɹeɪfən,1
varivax,vɑːɹɹɪvæks,cervarix,sɜːvɑːɹɹɪks,1
varivax,vɑːɹɹɪvæks,saphrivax,sæfɹɪvæks,1
ezomephil,ɛzoʊmfɪl,esomep,ɛsoʊməp,1
startline 50,stɑːɹtlaɪn fɪfti,startline 100,stɑːɹtlaɪn wʌnhʌndɹɪd,1
mupivita,mjuːpɪviːɾə,mupirina,mjuːpɪɹiːnə,1
mioclof,mɪɑːklɑːf,diclofed,dɪkloʊft,1
pipercil 45,paɪpɚsəl fɔːɹɾi faɪv,ptz 45,piːtiːziː fɔːɹɾi faɪv,1
tazastar 225,tæzɐstɑːɹ tuːhʌndɹɪd twɛnti faɪv,tazeast,teɪzæst,1
satcapto 25,sætkæptoʊ twɛnti faɪv,savator 50,sæveɪɾɚ fɪfti,1
divalpro 125 sprinkles,dɪvælpɹoʊ wʌnhʌndɹɪd twɛnti faɪv spɹɪŋkəlz,calmol 125,kɑːmɑːl wʌnhʌndɹɪd twɛnti faɪv,1
clavorilz,klævɔːɹɪlz,clavco,klævkoʊ,1
bersevel,bɚsɛvəl,bearse,bɛɹs,1
satcapto 25,sætkæptoʊ twɛnti faɪv,sitazit 25,sɪɾɐzɪt twɛnti faɪv,1
clottam,klɑːɾæm,clintam,klɪntæm,1
capd dpca 3,kæpd diːpiːsiːeɪ θɹiː,capd dpca 18,kæpd diːpiːsiːeɪ eɪtiːn,1
hemosdin,hiːməsdɪn,hemoxin,hiːməksɪn,1
saphcisin 100,sæfsɪsɪn wʌnhʌndɹɪd,saphcisin od,sæfsɪsɪn ɑːd,1
fenitin,fɛnɪtɪn,fentin,fɛntɪn,1
basagine,bæsɐdʒɪn,vastazine,væstɐziːn,1
cefromaxil,sɛfɹəmæksɪl,cefroxime,sɛfɹəksaɪm,1
imbruvica,ɪmbɹuːvɪkə,ibra,ɪbɹə,1
xanginart,zændʒɪnɑːɹt,angihart,æŋgɪhɑːɹt,1
roysal,ɹɔɪsəl,diprosalic,dɪpɹəzælɪk,1
colchicine,kɑːltʃɪsiːn,colchimed,kɑːltʃaɪmd,1
rovecol,ɹoʊvkɑːl,rowachol,ɹoʊɐkɑːl,1
fisteride,fɪstɚɹaɪd,foster,fɑːstɚ,1
aldopiem,ɔːldoʊpɪm,almopin,ɔlməpɪn,1
amnoset,æmnəsɛt,amnotic,æmnɑːɾɪk,1
clindavint,klɪndɐvɪnt,clindalev,klɪndeɪləv,1
luotriaxone,ljuːətɹɪɐksoʊn,triaxone,tɹaɪɐksoʊn,1
ximvex,zɪmvɛks,irvex,ɜːvɛks,1
irbekon,ɜːbɛkən,irbegen,ɜːbɪdʒən,1
neuromard,nʊɹɹəmɑːɹd,neuroaid ii mlc 901,nʊɹɹoʊɪd ɹoʊmən tuː ɛmɛlsiː naɪnhʌndɹɪd wʌn,1
asconzee,ɐskɑːnziː,azcon,æzkən,1
clobesaph,kloʊbsæf,clobex,kloʊbɛks,1
berodual f udv,bɪɹɑːdʒuːəl ɛf ʌdv,riber,ɹaɪbɚ,1
povistat,pɑːvɪstæt,povibact,pɑːvɪbækt,1
glotoxan 1,glɑːɾɑːksən wʌn,broxan,bɹɑːksən,1
risgen,ɹɪsdʒən,tripgen,tɹɪpdʒən,1
clozol,klɑːzɑːl,clozil,klɑːzɪl,1
dicloxiri,dɪkləksiəɹi,ciclox,sɪklɑːks,1
esmazol,ɛsmɐzɑːl,esomaz,ɛsəmæz,1
beztin,bɛztɪn,bestine,bɪstiːn,1
pure cee,pjʊɹ siː,pure ceez,pjʊɹ siːz,1
boost,buːst,booster z,buːstɚ ziː,1
bonsenz,bɑːnsɛnts,foxsenz,fɑːkssɛnts,1
newmacdol,nuːmɐkdɑːl,cetamadol,sɛɾɐmædɑːl,1
alprazitel,ælpɹeɪzɪɾəl,parazel,pæɹəzəl,1
ciprodin fc,sɪpɹədɪn ɛfsiː,ciproquin,sɪpɹəkwɪn,1
glotoxan 1,glɑːɾɑːksən wʌn,oxan,ɑːksən,1
letrocord 25,lɛtɹəkɔːɹd twɛnti faɪv,tacrocord 5,tækɹəkɔːɹd faɪv,1
mednosetron,mɛdnoʊstɹɑːn,onsetron,ɑːnsɪtɹɑːn,1
teno em,tiːnoʊ ɛm,tenemed,tɛnəmd,1
puxenon,pʌksɛnən,bufencon,bjuːfɛŋkən,1
ledrocid,lɛdɹəsɪd,zerocid,ziəɹəsɪd,1
ezomephil,ɛzoʊmfɪl,omehil,oʊmhɪl,1
combe five,kəmɛ faɪv,combiver,kəmbɪvɚ,1
letrocord 25,lɛtɹəkɔːɹd twɛnti faɪv,cetrocord,sɛtɹəkɔːɹd,1
tobracor,tɑːbɹækɚ,tobralcin,tɑːbɹɐlsɪn,1
sethair duo,sɛɾaɪɚ duːoʊ,hairos,hɛɹoʊz,1
ximvex,zɪmvɛks,qvex,kjuːvɛks,1
tracrium,tɹækɹiəm,acurium,ɐkjʊɹɹiəm,1
nivicof,nɪvɪkɑːf,vicod,vɪkɑːd,1
gozol iv,gɑːzɑːl ɹoʊmən fɔːɹ,gozolide,gɑːzəlaɪd,1
vino de quina,viːnoʊ də kwɪnə,quinapro,kwɪnæpɹoʊ,1
biopril,baɪoʊpɹɪl,bisophil,baɪsɑːfɪl,1
nutrimin forte,njuːtɹɪmɪn fɔːɹɾeɪ,nutrimin fez,njuːtɹɪmɪn fɛz,1
osteomeg,ɑːstɪoʊməg,osteoflam,ɑːstɪɑːflæm,1
rahika,ɹæhɪkə,hikast,hɪkæst,1
zitabin 1000,zɪɾɐbɪn wʌn θaʊzənd,zitabin 200,zɪɾɐbɪn tuːhʌndɹɪd,1
retasarc,ɹɪtæsɑːɹk,retalac,ɹɪtælæk,1
nax d,næks diː,calpro d,kælpɹoʊ diː,1
caxetil,kæksɪtɪl,goxetil,gɑːksɪtɪl,1
minox 5,mɪnɑːks faɪv,apixastal 5,ɐpɪksæstəl faɪv,1
capd dpca 3,kæpd diːpiːsiːeɪ θɹiː,capd dpca 19,kæpd diːpiːsiːeɪ naɪntiːn,1
leucowel,luːkaʊəl,ferowell,fɛɹoʊɛl,1
clophen,klɑːfən,lophenil,lɑːfənɪl,1
sandostatin,sændəstætɪn,neostatin,niːoʊstætɪn,1
tribacef,tɹaɪbeɪsəf,triascef,tɹaɪɐsɛf,1
guaifenesin dextromethorpan hydrobromide,gwɑːaɪfnɛsɪn dɛkstɹoʊmθɔːɹpæn haɪdɹəbɹoʊmaɪd,dexton,dɛkstən,1
gaviscon double action,gævɪskən dʌbəl ækʃən,gavlin,gævlɪn,1
glucophage,gluːkɑːfɪdʒ,glucopride,gluːkəpɹaɪd,1
sorbance 5,sɔːɹbəns faɪv,fina 5,faɪnə faɪv,1
perazovic,pɛɹɐzɑːvɪk,pantovic,pæntɑːvɪk,1
ponser,pɑːnsɚ,visponerv,vɪspoʊnɜːv,1
febuhil,fɛbjuːhɪl,febuphil,fɛbəfɪl,1
corvizem,kɔːɹvaɪzəm,corvizo 1000,kɔːɹvɪzoʊ wʌn θaʊzənd,1
tioconazole tinidazole,tɪɑːkənæzoʊl tɪnɪdæzoʊl,secnidazole,sɛknɪdæzoʊl,1
nerveplex ae,nɜːvɪplɛks eɪiː,ceplex,sɛplɛks,1
zandropil,zændɹɑːpəl,zantol,zæntɑːl,1
bomozid,bɑːməzɪd,emizid,ɛmɪzɪd,1
xanginart,zændʒɪnɑːɹt,xanor,zænɚ,1
ikshatob,ɪkʃɐtɑːb,ikshadex,ɪkʃeɪdɛks,1
altussan,ɔːltʌsən,salbussin,sælbəsɪn,1
felizen,fɛlɪzən,fenolizen,fɛnəlɪzən,1
ketoguard,kɛɾəgɑːɹd,ketozar,kɛɾəzɑːɹ,1
lipibrate,lɪpɪbɹeɪt,tripibra,tɹaɪpɪbɹə,1
multizine,mʌltɪziːn,multinem,mʌltinəm,1
cilvex,sɪlvɛks,bilex,baɪlɛks,1
